model,assignment,planner_profile,implementer_profile,reviewer_profile,passed,evaluated,total,pass_at_1
llama_3_1_8b,mixed24,LLH_happiness,LLH_happiness,LLH_sadness,47,282,282,0.16666666666666666
llama_3_1_8b,mixed24,LLH_happiness,LLH_happiness,NNN_neutral,54,282,282,0.19148936170212766
llama_3_1_8b,mixed24,LLH_happiness,LLH_sadness,LLH_happiness,45,282,282,0.1595744680851064
llama_3_1_8b,mixed24,LLH_happiness,LLH_sadness,LLH_sadness,47,282,282,0.16666666666666666
llama_3_1_8b,mixed24,LLH_happiness,LLH_sadness,NNN_neutral,43,282,282,0.1524822695035461
llama_3_1_8b,mixed24,LLH_happiness,NNN_neutral,LLH_happiness,49,282,282,0.17375886524822695
llama_3_1_8b,mixed24,LLH_happiness,NNN_neutral,LLH_sadness,48,282,282,0.1702127659574468
llama_3_1_8b,mixed24,LLH_happiness,NNN_neutral,NNN_neutral,47,282,282,0.16666666666666666
llama_3_1_8b,mixed24,LLH_sadness,LLH_happiness,LLH_happiness,57,282,282,0.20212765957446807
llama_3_1_8b,mixed24,LLH_sadness,LLH_happiness,LLH_sadness,53,282,282,0.1879432624113475
llama_3_1_8b,mixed24,LLH_sadness,LLH_happiness,NNN_neutral,55,282,282,0.1950354609929078
llama_3_1_8b,mixed24,LLH_sadness,LLH_sadness,LLH_happiness,51,282,282,0.18085106382978725
llama_3_1_8b,mixed24,LLH_sadness,LLH_sadness,NNN_neutral,52,282,282,0.18439716312056736
llama_3_1_8b,mixed24,LLH_sadness,NNN_neutral,LLH_happiness,54,282,282,0.19148936170212766
llama_3_1_8b,mixed24,LLH_sadness,NNN_neutral,LLH_sadness,50,282,282,0.1773049645390071
llama_3_1_8b,mixed24,LLH_sadness,NNN_neutral,NNN_neutral,54,282,282,0.19148936170212766
llama_3_1_8b,mixed24,NNN_neutral,LLH_happiness,LLH_happiness,50,282,282,0.1773049645390071
llama_3_1_8b,mixed24,NNN_neutral,LLH_happiness,LLH_sadness,50,282,282,0.1773049645390071
llama_3_1_8b,mixed24,NNN_neutral,LLH_happiness,NNN_neutral,50,282,282,0.1773049645390071
llama_3_1_8b,mixed24,NNN_neutral,LLH_sadness,LLH_happiness,46,282,282,0.16312056737588654
llama_3_1_8b,mixed24,NNN_neutral,LLH_sadness,LLH_sadness,43,282,282,0.1524822695035461
llama_3_1_8b,mixed24,NNN_neutral,LLH_sadness,NNN_neutral,47,282,282,0.16666666666666666
llama_3_1_8b,mixed24,NNN_neutral,NNN_neutral,LLH_happiness,49,282,282,0.17375886524822695
llama_3_1_8b,mixed24,NNN_neutral,NNN_neutral,LLH_sadness,47,282,282,0.16666666666666666
mistral_small_3_24b_awq,mixed24,HHH_happiness,HHH_happiness,LHH_neutral,96,282,282,0.3404255319148936
mistral_small_3_24b_awq,mixed24,HHH_happiness,HHH_happiness,LLH_fear,93,282,282,0.32978723404255317
mistral_small_3_24b_awq,mixed24,HHH_happiness,LHH_neutral,HHH_happiness,98,282,282,0.3475177304964539
mistral_small_3_24b_awq,mixed24,HHH_happiness,LHH_neutral,LHH_neutral,98,282,282,0.3475177304964539
mistral_small_3_24b_awq,mixed24,HHH_happiness,LHH_neutral,LLH_fear,94,282,282,0.3333333333333333
mistral_small_3_24b_awq,mixed24,HHH_happiness,LLH_fear,HHH_happiness,99,282,282,0.35106382978723405
mistral_small_3_24b_awq,mixed24,HHH_happiness,LLH_fear,LHH_neutral,104,282,282,0.36879432624113473
mistral_small_3_24b_awq,mixed24,HHH_happiness,LLH_fear,LLH_fear,101,282,282,0.35815602836879434
mistral_small_3_24b_awq,mixed24,LHH_neutral,HHH_happiness,HHH_happiness,92,282,282,0.3262411347517731
mistral_small_3_24b_awq,mixed24,LHH_neutral,HHH_happiness,LHH_neutral,95,282,282,0.33687943262411346
mistral_small_3_24b_awq,mixed24,LHH_neutral,HHH_happiness,LLH_fear,87,282,282,0.30851063829787234
mistral_small_3_24b_awq,mixed24,LHH_neutral,LHH_neutral,HHH_happiness,94,282,282,0.3333333333333333
mistral_small_3_24b_awq,mixed24,LHH_neutral,LHH_neutral,LLH_fear,95,282,282,0.33687943262411346
mistral_small_3_24b_awq,mixed24,LHH_neutral,LLH_fear,HHH_happiness,95,282,282,0.33687943262411346
mistral_small_3_24b_awq,mixed24,LHH_neutral,LLH_fear,LHH_neutral,87,282,282,0.30851063829787234
