model,assignment,emotion,personality,passed,evaluated,total,pass_at_1
llama_3_1_8b,shared54,anger,HHH,40,282,282,0.14184397163120568
llama_3_1_8b,shared54,anger,HHL,40,282,282,0.14184397163120568
llama_3_1_8b,shared54,anger,HLH,25,282,282,0.08865248226950355
llama_3_1_8b,shared54,anger,HLL,32,282,282,0.11347517730496454
llama_3_1_8b,shared54,anger,LHH,37,282,282,0.13120567375886524
llama_3_1_8b,shared54,anger,LHL,45,282,282,0.1595744680851064
llama_3_1_8b,shared54,anger,LLH,34,282,282,0.12056737588652482
llama_3_1_8b,shared54,anger,LLL,41,282,282,0.1453900709219858
llama_3_1_8b,shared54,anger,NNN,30,282,282,0.10638297872340426
llama_3_1_8b,shared54,disgust,HHH,27,282,282,0.09574468085106383
llama_3_1_8b,shared54,disgust,HHL,33,282,282,0.11702127659574468
llama_3_1_8b,shared54,disgust,HLH,28,282,282,0.09929078014184398
llama_3_1_8b,shared54,disgust,HLL,24,282,282,0.0851063829787234
llama_3_1_8b,shared54,disgust,LHH,46,282,282,0.16312056737588654
llama_3_1_8b,shared54,disgust,LHL,49,282,282,0.17375886524822695
llama_3_1_8b,shared54,disgust,LLH,48,282,282,0.1702127659574468
llama_3_1_8b,shared54,disgust,LLL,39,282,282,0.13829787234042554
llama_3_1_8b,shared54,disgust,NNN,34,282,282,0.12056737588652482
llama_3_1_8b,shared54,fear,HHH,36,282,282,0.1276595744680851
llama_3_1_8b,shared54,fear,HHL,42,282,282,0.14893617021276595
llama_3_1_8b,shared54,fear,HLH,28,282,282,0.09929078014184398
llama_3_1_8b,shared54,fear,HLL,34,282,282,0.12056737588652482
llama_3_1_8b,shared54,fear,LHH,41,282,282,0.1453900709219858
llama_3_1_8b,shared54,fear,LHL,33,282,282,0.11702127659574468
llama_3_1_8b,shared54,fear,LLH,33,282,282,0.11702127659574468
llama_3_1_8b,shared54,fear,LLL,36,282,282,0.1276595744680851
llama_3_1_8b,shared54,fear,NNN,36,282,282,0.1276595744680851
llama_3_1_8b,shared54,happiness,HHH,45,282,282,0.1595744680851064
llama_3_1_8b,shared54,happiness,HHL,30,282,282,0.10638297872340426
llama_3_1_8b,shared54,happiness,HLH,45,282,282,0.1595744680851064
llama_3_1_8b,shared54,happiness,HLL,32,282,282,0.11347517730496454
llama_3_1_8b,shared54,happiness,LHH,51,282,282,0.18085106382978725
llama_3_1_8b,shared54,happiness,LHL,31,282,282,0.1099290780141844
llama_3_1_8b,shared54,happiness,LLH,51,282,282,0.18085106382978725
llama_3_1_8b,shared54,happiness,LLL,40,282,282,0.14184397163120568
llama_3_1_8b,shared54,happiness,NNN,40,282,282,0.14184397163120568
llama_3_1_8b,shared54,neutral,HHH,41,282,282,0.1453900709219858
llama_3_1_8b,shared54,neutral,HHL,49,282,282,0.17375886524822695
llama_3_1_8b,shared54,neutral,HLH,30,282,282,0.10638297872340426
llama_3_1_8b,shared54,neutral,HLL,48,282,282,0.1702127659574468
llama_3_1_8b,shared54,neutral,LHH,34,282,282,0.12056737588652482
llama_3_1_8b,shared54,neutral,LHL,40,282,282,0.14184397163120568
llama_3_1_8b,shared54,neutral,LLH,49,282,282,0.17375886524822695
llama_3_1_8b,shared54,neutral,LLL,36,282,282,0.1276595744680851
llama_3_1_8b,shared54,neutral,NNN,56,282,282,0.19858156028368795
llama_3_1_8b,shared54,sadness,HHH,34,282,282,0.12056737588652482
llama_3_1_8b,shared54,sadness,HHL,39,282,282,0.13829787234042554
llama_3_1_8b,shared54,sadness,HLH,24,282,282,0.0851063829787234
llama_3_1_8b,shared54,sadness,HLL,32,282,282,0.11347517730496454
llama_3_1_8b,shared54,sadness,LHH,47,282,282,0.16666666666666666
llama_3_1_8b,shared54,sadness,LHL,41,282,282,0.1453900709219858
llama_3_1_8b,shared54,sadness,LLH,52,282,282,0.18439716312056736
llama_3_1_8b,shared54,sadness,LLL,41,282,282,0.1453900709219858
llama_3_1_8b,shared54,sadness,NNN,32,282,282,0.11347517730496454
mistral_small_3_24b_awq,shared54,anger,HHH,82,282,282,0.2907801418439716
mistral_small_3_24b_awq,shared54,anger,HHL,70,282,282,0.24822695035460993
mistral_small_3_24b_awq,shared54,anger,HLH,81,282,282,0.2872340425531915
mistral_small_3_24b_awq,shared54,anger,HLL,80,282,282,0.28368794326241137
mistral_small_3_24b_awq,shared54,anger,LHH,82,282,282,0.2907801418439716
mistral_small_3_24b_awq,shared54,anger,LHL,82,282,282,0.2907801418439716
mistral_small_3_24b_awq,shared54,anger,LLH,84,282,282,0.2978723404255319
mistral_small_3_24b_awq,shared54,anger,LLL,81,282,282,0.2872340425531915
mistral_small_3_24b_awq,shared54,anger,NNN,81,282,282,0.2872340425531915
mistral_small_3_24b_awq,shared54,disgust,HHH,74,282,282,0.2624113475177305
mistral_small_3_24b_awq,shared54,disgust,HHL,85,282,282,0.30141843971631205
mistral_small_3_24b_awq,shared54,disgust,HLH,88,282,282,0.3120567375886525
mistral_small_3_24b_awq,shared54,disgust,HLL,83,282,282,0.29432624113475175
mistral_small_3_24b_awq,shared54,disgust,LHH,87,282,282,0.30851063829787234
mistral_small_3_24b_awq,shared54,disgust,LHL,93,282,282,0.32978723404255317
mistral_small_3_24b_awq,shared54,disgust,LLH,81,282,282,0.2872340425531915
mistral_small_3_24b_awq,shared54,disgust,LLL,92,282,282,0.3262411347517731
mistral_small_3_24b_awq,shared54,disgust,NNN,82,282,282,0.2907801418439716
mistral_small_3_24b_awq,shared54,fear,HHH,88,282,282,0.3120567375886525
mistral_small_3_24b_awq,shared54,fear,HHL,86,282,282,0.3049645390070922
mistral_small_3_24b_awq,shared54,fear,HLH,83,282,282,0.29432624113475175
mistral_small_3_24b_awq,shared54,fear,HLL,81,282,282,0.2872340425531915
mistral_small_3_24b_awq,shared54,fear,LHH,85,282,282,0.30141843971631205
mistral_small_3_24b_awq,shared54,fear,LHL,76,282,282,0.2695035460992908
mistral_small_3_24b_awq,shared54,fear,LLH,97,282,282,0.34397163120567376
mistral_small_3_24b_awq,shared54,fear,LLL,78,282,282,0.2765957446808511
mistral_small_3_24b_awq,shared54,fear,NNN,91,282,282,0.32269503546099293
mistral_small_3_24b_awq,shared54,happiness,HHH,101,282,282,0.35815602836879434
mistral_small_3_24b_awq,shared54,happiness,HHL,87,282,282,0.30851063829787234
mistral_small_3_24b_awq,shared54,happiness,HLH,84,282,282,0.2978723404255319
mistral_small_3_24b_awq,shared54,happiness,HLL,91,282,282,0.32269503546099293
mistral_small_3_24b_awq,shared54,happiness,LHH,86,282,282,0.3049645390070922
mistral_small_3_24b_awq,shared54,happiness,LHL,85,282,282,0.30141843971631205
mistral_small_3_24b_awq,shared54,happiness,LLH,82,282,282,0.2907801418439716
mistral_small_3_24b_awq,shared54,happiness,LLL,86,282,282,0.3049645390070922
mistral_small_3_24b_awq,shared54,happiness,NNN,94,282,282,0.3333333333333333
