model,assignment,question_id,emotion,personality,conscientiousness,openness,extraversion,passed,revised,overrevised,calls,prompt_tokens,completion_tokens,total_tokens
llama_3_1_8b,shared54,1873_A,anger,HLL,H,L,L,0,1,0,8,12977,2870,15847
llama_3_1_8b,shared54,1873_D,anger,HLL,H,L,L,0,1,0,8,18426,5660,24086
llama_3_1_8b,shared54,1883_B,anger,HLL,H,L,L,0,1,0,8,18385,4570,22955
llama_3_1_8b,shared54,1883_C,anger,HLL,H,L,L,0,1,0,8,18150,3834,21984
llama_3_1_8b,shared54,1899_B,anger,HLL,H,L,L,1,1,1,8,20019,6630,26649
llama_3_1_8b,shared54,2777,anger,HLL,H,L,L,0,1,0,8,14908,1776,16684
llama_3_1_8b,shared54,2784,anger,HLL,H,L,L,0,1,0,8,13898,2887,16785
llama_3_1_8b,shared54,2808,anger,HLL,H,L,L,0,1,0,8,14652,3465,18117
llama_3_1_8b,shared54,2811,anger,HLL,H,L,L,1,1,0,8,11939,2982,14921
llama_3_1_8b,shared54,2812,anger,HLL,H,L,L,0,1,1,8,10808,1293,12101
llama_3_1_8b,shared54,2816,anger,HLL,H,L,L,0,1,0,8,12674,2893,15567
llama_3_1_8b,shared54,2817,anger,HLL,H,L,L,0,1,0,8,12173,2026,14199
llama_3_1_8b,shared54,2825,anger,HLL,H,L,L,0,1,0,8,13017,2090,15107
llama_3_1_8b,shared54,2833,anger,HLL,H,L,L,0,1,0,8,15153,3308,18461
llama_3_1_8b,shared54,2847,anger,HLL,H,L,L,0,1,1,8,13646,2607,16253
llama_3_1_8b,shared54,2849,anger,HLL,H,L,L,0,1,0,8,13583,2832,16415
llama_3_1_8b,shared54,2868,anger,HLL,H,L,L,0,1,1,8,12600,2275,14875
llama_3_1_8b,shared54,2870,anger,HLL,H,L,L,0,1,0,8,12135,2236,14371
llama_3_1_8b,shared54,2882,anger,HLL,H,L,L,0,1,0,8,13732,3703,17435
llama_3_1_8b,shared54,2886,anger,HLL,H,L,L,0,1,1,8,10643,1505,12148
llama_3_1_8b,shared54,2902,anger,HLL,H,L,L,0,1,1,8,12300,3142,15442
llama_3_1_8b,shared54,2915,anger,HLL,H,L,L,0,1,0,8,15794,2354,18148
llama_3_1_8b,shared54,2919,anger,HLL,H,L,L,0,1,0,8,12953,2089,15042
llama_3_1_8b,shared54,2921,anger,HLL,H,L,L,0,1,0,8,13890,4796,18686
llama_3_1_8b,shared54,2952,anger,HLL,H,L,L,0,1,0,8,25252,9457,34709
llama_3_1_8b,shared54,2954,anger,HLL,H,L,L,1,1,1,8,14388,2435,16823
llama_3_1_8b,shared54,2955,anger,HLL,H,L,L,0,1,1,8,10958,2289,13247
llama_3_1_8b,shared54,2977,anger,HLL,H,L,L,1,1,1,8,12407,2278,14685
llama_3_1_8b,shared54,2998,anger,HLL,H,L,L,1,1,1,8,12502,3179,15681
llama_3_1_8b,shared54,3024,anger,HLL,H,L,L,0,1,0,8,14791,3542,18333
llama_3_1_8b,shared54,3025,anger,HLL,H,L,L,0,1,0,8,15301,2737,18038
llama_3_1_8b,shared54,3032,anger,HLL,H,L,L,0,1,0,8,15574,3234,18808
llama_3_1_8b,shared54,3044,anger,HLL,H,L,L,0,1,0,8,13075,2525,15600
llama_3_1_8b,shared54,3055,anger,HLL,H,L,L,0,1,0,8,11259,2333,13592
llama_3_1_8b,shared54,3166,anger,HLL,H,L,L,0,1,0,8,14242,2455,16697
llama_3_1_8b,shared54,3188,anger,HLL,H,L,L,0,1,1,8,12631,2446,15077
llama_3_1_8b,shared54,3192,anger,HLL,H,L,L,0,1,0,8,14089,2937,17026
llama_3_1_8b,shared54,3193,anger,HLL,H,L,L,0,1,0,8,14715,3504,18219
llama_3_1_8b,shared54,3195,anger,HLL,H,L,L,0,1,0,8,20163,7745,27908
