analysis_scope,result_type,effect,comparison,reference,chi_square,df,log_odds_estimate,std_error,z_value,odds_ratio,p_value,q_value_bh,bh_family,note
Overall,Main effect,Emotion,Overall effect,,20.5336935384767,5,NA,NA,NA,NA,0.000991928609936969,0.00396771443974788,main_effects,
Overall,Main effect,Conscientiousness,Overall effect,,6.39592037221882,1,NA,NA,NA,NA,0.0114382912964915,0.0228765825929829,main_effects,
Overall,Main effect,Openness,Overall effect,,4.35878187698108,1,NA,NA,NA,NA,0.0368186236179624,0.0490914981572832,main_effects,
Overall,Main effect,Extraversion,Overall effect,,3.17650969288661,1,NA,NA,NA,NA,0.0747041451839078,0.0747041451839078,main_effects,
Overall,Emotion contrast,Emotion,Anger vs happiness,Happiness,NA,NA,-0.235081644255407,0.0587933142549766,-3.99844178261321,0.790506306695187,6.37608591519966e-05,0.000510086873215973,planned_contrasts,
Overall,Emotion contrast,Emotion,Disgust vs happiness,Happiness,NA,NA,-0.10474778875345,0.0585602718220621,-1.78871759802841,0.900551623193867,0.0736603073618632,0.0851757100200722,planned_contrasts,
Overall,Emotion contrast,Emotion,Fear vs happiness,Happiness,NA,NA,-0.179250886914065,0.0586882417909443,-3.05428960629936,0.83589615767993,0.00225594188513893,0.0090237675405557,planned_contrasts,
Overall,Emotion contrast,Emotion,Neutral vs happiness,Happiness,NA,NA,-0.0548164960829597,0.0584823272947277,-0.937317282308318,0.946658847622351,0.348595375709099,0.348595375709099,planned_contrasts,
Overall,Emotion contrast,Emotion,Sadness vs happiness,Happiness,NA,NA,-0.116836672994383,0.0585800860020813,-1.99447766243006,0.889730498315057,0.0460998787229166,0.0737598059566666,planned_contrasts,
Overall,Trait contrast,Conscientiousness,High vs low,Low,NA,NA,-0.0858310763077155,0.0339213690931815,-2.53029516797918,0.917749247718319,0.0113966606614306,0.0303910950971483,planned_contrasts,
Overall,Trait contrast,Openness,High vs low,Low,NA,NA,0.0708541146707829,0.0339186610917041,2.08894196852931,1.07342461754149,0.0367129473313526,0.0734258946627053,planned_contrasts,
Overall,Trait contrast,Extraversion,High vs low,Low,NA,NA,0.0604861668995021,0.0339170895562234,1.78335369251645,1.06235290183423,0.0745287462675632,0.0851757100200722,planned_contrasts,
Model: Llama 8B,Main effect,Emotion,Overall effect,,13.0587858477056,5,NA,NA,NA,NA,0.0228340649947352,0.0304454199929803,main_effects,
Model: Llama 8B,Main effect,Conscientiousness,Overall effect,,32.7674104573716,1,NA,NA,NA,NA,1.03871767846954e-08,4.15487071387817e-08,main_effects,
Model: Llama 8B,Main effect,Openness,Overall effect,,6.35422290626593,1,NA,NA,NA,NA,0.0117102224032642,0.0234204448065284,main_effects,
Model: Llama 8B,Main effect,Extraversion,Overall effect,,0.482225271333846,1,NA,NA,NA,NA,0.487416085416165,0.487416085416165,main_effects,
Model: Llama 8B,Emotion contrast,Emotion,Anger vs happiness,Happiness,NA,NA,-0.246952774282292,0.126754390949346,-1.94827786582147,0.78117758433235,0.0513817241364421,0.0822112693959458,planned_contrasts,
Model: Llama 8B,Emotion contrast,Emotion,Disgust vs happiness,Happiness,NA,NA,-0.246952432018665,0.126754388945432,-1.94827519641138,0.781177851701069,0.0513820433724661,0.0822112693959458,planned_contrasts,
Model: Llama 8B,Emotion contrast,Emotion,Fear vs happiness,Happiness,NA,NA,-0.337149566098872,0.127315422198074,-2.64814395835206,0.713802071327264,0.00809350522545256,0.0321164820768862,planned_contrasts,
Model: Llama 8B,Emotion contrast,Emotion,Neutral vs happiness,Happiness,NA,NA,0.0156082389595573,0.125485964618159,0.124382348313228,1.01573068374094,0.90101254881542,0.90101254881542,planned_contrasts,
Model: Llama 8B,Emotion contrast,Emotion,Sadness vs happiness,Happiness,NA,NA,-0.118272144162307,0.126066420701691,-0.938173254257549,0.888454232078349,0.34815538080045,0.4642071744006,planned_contrasts,
Model: Llama 8B,Trait contrast,Conscientiousness,High vs low,Low,NA,NA,-0.418684397903815,0.073691999759461,-5.68154479822027,0.657911800849169,1.33483540118888e-08,1.06786832095111e-07,planned_contrasts,
Model: Llama 8B,Trait contrast,Openness,High vs low,Low,NA,NA,0.184252872672691,0.0733823209740821,2.51086188371947,1.20231981848455,0.0120436807788323,0.0321164820768862,planned_contrasts,
Model: Llama 8B,Trait contrast,Extraversion,High vs low,Low,NA,NA,0.0507526618918252,0.0733132408444524,0.692271427469785,1.05206264591546,0.488766889953176,0.558590731375058,planned_contrasts,
Model: Mistral 24B,Main effect,Emotion,Overall effect,,14.5154588124278,5,NA,NA,NA,NA,0.0126463230098202,0.0505852920392808,main_effects,
Model: Mistral 24B,Main effect,Conscientiousness,Overall effect,,1.72506406921548,1,NA,NA,NA,NA,0.189042490986942,0.252056654649256,main_effects,
Model: Mistral 24B,Main effect,Openness,Overall effect,,0.00477381285691081,1,NA,NA,NA,NA,0.944915764514536,0.944915764514536,main_effects,
Model: Mistral 24B,Main effect,Extraversion,Overall effect,,2.10726212456666,1,NA,NA,NA,NA,0.146601401357945,0.252056654649256,main_effects,
Model: Mistral 24B,Emotion contrast,Emotion,Anger vs happiness,Happiness,NA,NA,-0.429943263466891,0.11980242131067,-3.58876939850798,0.650546003401132,0.000332242555626269,0.00265794044501015,planned_contrasts,
Model: Mistral 24B,Emotion contrast,Emotion,Disgust vs happiness,Happiness,NA,NA,-0.136237576611742,0.11969804841083,-1.13817709161092,0.872635290124332,0.255046542401763,0.29148499722327,planned_contrasts,
Model: Mistral 24B,Emotion contrast,Emotion,Fear vs happiness,Happiness,NA,NA,-0.200719476540103,0.119688493817584,-1.67701564401018,0.818141907364221,0.0935394227516767,0.249438460671138,planned_contrasts,
Model: Mistral 24B,Emotion contrast,Emotion,Neutral vs happiness,Happiness,NA,NA,-0.136236765429633,0.119698048643964,-1.13817031249074,0.872635997990754,0.255049372570361,0.29148499722327,planned_contrasts,
Model: Mistral 24B,Emotion contrast,Emotion,Sadness vs happiness,Happiness,NA,NA,-0.258023159108044,0.119695163329449,-2.15566905070225,0.77257733969766,0.0311095164999692,0.124438065999877,planned_contrasts,
Model: Mistral 24B,Trait contrast,Conscientiousness,High vs low,Low,NA,NA,-0.0907751672148905,0.069022343379277,-1.31515626347373,0.913223010292214,0.188457390728051,0.29148499722327,planned_contrasts,
Model: Mistral 24B,Trait contrast,Openness,High vs low,Low,NA,NA,-0.00477564000940919,0.069001472455863,-0.0692106970972821,0.995235745228198,0.944821908474886,0.944821908474886,planned_contrasts,
Model: Mistral 24B,Trait contrast,Extraversion,High vs low,Low,NA,NA,0.100331294437157,0.0690269823819133,1.453508337972,1.10553711570918,0.146082666352451,0.29148499722327,planned_contrasts,
Model: Qwen 1.5B,Main effect,Emotion,Overall effect,,3.83551387911984,5,NA,NA,NA,NA,0.573332750377439,0.764443667169919,main_effects,
Model: Qwen 1.5B,Main effect,Conscientiousness,Overall effect,,3.22404805441465,1,NA,NA,NA,NA,0.0725639753299208,0.176073802247749,main_effects,
Model: Qwen 1.5B,Main effect,Openness,Overall effect,,2.9099079170719,1,NA,NA,NA,NA,0.0880369011238743,0.176073802247749,main_effects,
Model: Qwen 1.5B,Main effect,Extraversion,Overall effect,,0.00806591113587274,1,NA,NA,NA,NA,0.928437869483404,0.928437869483404,main_effects,
Model: Qwen 1.5B,Emotion contrast,Emotion,Anger vs happiness,Happiness,NA,NA,0.0369173672967814,0.156713820071243,0.235571867752306,1.03760727700141,0.813764905415336,0.92836785901183,planned_contrasts,
Model: Qwen 1.5B,Emotion contrast,Emotion,Disgust vs happiness,Happiness,NA,NA,0.263813293219932,0.154951490578013,1.70255408473861,1.30188510283243,0.0886515488788163,0.23640413034351,planned_contrasts,
Model: Qwen 1.5B,Emotion contrast,Emotion,Fear vs happiness,Happiness,NA,NA,0.133833293303586,0.155893065820025,0.858494203058998,1.14320222429218,0.390619630100051,0.781239260200102,planned_contrasts,
Model: Qwen 1.5B,Emotion contrast,Emotion,Neutral vs happiness,Happiness,NA,NA,0.0369178749076684,0.156713815501566,0.23557511371612,1.03760780370229,0.813762386386275,0.92836785901183,planned_contrasts,
Model: Qwen 1.5B,Emotion contrast,Emotion,Sadness vs happiness,Happiness,NA,NA,0.0856456878629315,0.156288283106185,0.547998136269387,1.08942026509344,0.583693182549628,0.92836785901183,planned_contrasts,
Model: Qwen 1.5B,Trait contrast,Conscientiousness,High vs low,Low,NA,NA,0.161277700549591,0.0898003049748347,1.79595938560328,1.17501122477394,0.0725009765807282,0.23640413034351,planned_contrasts,
Model: Qwen 1.5B,Trait contrast,Openness,High vs low,Low,NA,NA,0.153217755283879,0.089793336606509,1.7063376980333,1.16557876224466,0.0879452230707795,0.23640413034351,planned_contrasts,
Model: Qwen 1.5B,Trait contrast,Extraversion,High vs low,Low,NA,NA,-0.00806649965390504,0.0897289505062637,-0.0898985177960144,0.991965947251496,0.92836785901183,0.92836785901183,planned_contrasts,
Model: Qwen 32B,Main effect,Emotion,Overall effect,,10.8841187530816,5,NA,NA,NA,NA,0.0537265967767725,0.21490638710709,main_effects,
Model: Qwen 32B,Main effect,Conscientiousness,Overall effect,,0.0405028421864699,1,NA,NA,NA,NA,0.8405006109565,0.8405006109565,main_effects,
Model: Qwen 32B,Main effect,Openness,Overall effect,,0.364510778581462,1,NA,NA,NA,NA,0.546011674696585,0.728015566262113,main_effects,
Model: Qwen 32B,Main effect,Extraversion,Overall effect,,2.38000061175808,1,NA,NA,NA,NA,0.122897498801577,0.245794997603153,main_effects,
Model: Qwen 32B,Emotion contrast,Emotion,Anger vs happiness,Happiness,NA,NA,-0.324077226302095,0.115907418341283,-2.79600073006429,0.723194390594775,0.00517392835542002,0.0349889589906516,planned_contrasts,
Model: Qwen 32B,Emotion contrast,Emotion,Disgust vs happiness,Happiness,NA,NA,-0.222949267605509,0.11587471804161,-1.92405445617092,0.800155442066402,0.0543477579759865,0.144927354602631,planned_contrasts,
Model: Qwen 32B,Emotion contrast,Emotion,Fear vs happiness,Happiness,NA,NA,-0.303855375258668,0.115896684971996,-2.62177796830071,0.737967587104578,0.00874723974766291,0.0349889589906516,planned_contrasts,
Model: Qwen 32B,Emotion contrast,Emotion,Neutral vs happiness,Happiness,NA,NA,-0.121721891972669,0.11589463927089,-1.05028060606115,0.885394569602951,0.293589119113473,0.391452158817964,planned_contrasts,
Model: Qwen 32B,Emotion contrast,Emotion,Sadness vs happiness,Happiness,NA,NA,-0.162229886500214,0.115880325201561,-1.39997783245803,0.850245722058337,0.161519956750306,0.258431930800489,planned_contrasts,
Model: Qwen 32B,Trait contrast,Conscientiousness,High vs low,Low,NA,NA,0.0135012486377998,0.0668002235595125,0.202113824151674,1.0135928020597,0.839827740777088,0.839827740777088,planned_contrasts,
Model: Qwen 32B,Trait contrast,Openness,High vs low,Low,NA,NA,0.0405011498585263,0.0668034933147374,0.606272933478337,1.04133250708689,0.544333528816396,0.622095461504452,planned_contrasts,
Model: Qwen 32B,Trait contrast,Extraversion,High vs low,Low,NA,NA,0.103495970960107,0.0668238329083013,1.54878830584484,1.10904132498432,0.121432617619519,0.242865235239039,planned_contrasts,
