model,assignment,emotion,configurations,passed_sum,evaluated_sum,overall_pass_at_1,mean_passed,mean_pass_at_1
llama_3_1_8b,shared54,anger,9,324,2538,0.1276595744680851,36.0,0.12765957446808512
llama_3_1_8b,shared54,disgust,9,328,2538,0.12923561859732072,36.44444444444444,0.12923561859732072
llama_3_1_8b,shared54,fear,9,319,2538,0.12568951930654057,35.44444444444444,0.12568951930654057
llama_3_1_8b,shared54,happiness,9,365,2538,0.1438140267927502,40.55555555555556,0.1438140267927502
llama_3_1_8b,shared54,neutral,9,383,2538,0.15090622537431048,42.55555555555556,0.15090622537431048
llama_3_1_8b,shared54,sadness,9,342,2538,0.1347517730496454,38.0,0.13475177304964536
mistral_small_3_24b_awq,shared54,anger,9,723,2538,0.2848699763593381,80.33333333333333,0.2848699763593381
mistral_small_3_24b_awq,shared54,disgust,9,765,2538,0.30141843971631205,85.0,0.30141843971631205
mistral_small_3_24b_awq,shared54,fear,9,765,2538,0.30141843971631205,85.0,0.30141843971631205
mistral_small_3_24b_awq,shared54,happiness,9,796,2538,0.3136327817178881,88.44444444444444,0.3136327817178881
mistral_small_3_24b_awq,shared54,neutral,9,767,2538,0.30220646178092986,85.22222222222223,0.30220646178092986
mistral_small_3_24b_awq,shared54,sadness,9,746,2538,0.29393223010244285,82.88888888888889,0.29393223010244285
qwen2.5-32b-awq,shared54,anger,9,1003,2538,0.3951930654058314,111.44444444444444,0.3951930654058314
qwen2.5-32b-awq,shared54,disgust,9,1015,2538,0.39992119779353824,112.77777777777777,0.3999211977935382
qwen2.5-32b-awq,shared54,fear,9,1017,2538,0.40070921985815605,113.0,0.400709219858156
qwen2.5-32b-awq,shared54,happiness,9,1058,2538,0.4168636721828211,117.55555555555556,0.4168636721828211
qwen2.5-32b-awq,shared54,neutral,9,1044,2538,0.41134751773049644,116.0,0.41134751773049644
qwen2.5-32b-awq,shared54,sadness,9,1032,2538,0.4066193853427896,114.66666666666667,0.4066193853427896
qwen2_5_1_5b,shared54,anger,9,200,2538,0.07880220646178093,22.22222222222222,0.07880220646178093
qwen2_5_1_5b,shared54,disgust,9,222,2538,0.08747044917257683,24.666666666666668,0.08747044917257683
qwen2_5_1_5b,shared54,fear,9,212,2538,0.08353033884948778,23.555555555555557,0.08353033884948778
qwen2_5_1_5b,shared54,happiness,9,205,2538,0.08077226162332546,22.77777777777778,0.08077226162332546
qwen2_5_1_5b,shared54,neutral,9,200,2538,0.07880220646178093,22.22222222222222,0.07880220646178093
qwen2_5_1_5b,shared54,sadness,9,205,2538,0.08077226162332546,22.77777777777778,0.08077226162332546
