model,assignment,personality_group,configurations,passed_sum,evaluated_sum,overall_pass_at_1,mean_passed,mean_pass_at_1
llama_3_1_8b,shared54,C-High,24,838,6768,0.12381796690307328,34.916666666666664,0.12381796690307328
llama_3_1_8b,shared54,C-Low,24,995,6768,0.14701536643026006,41.458333333333336,0.14701536643026006
llama_3_1_8b,shared54,O-High,24,951,6768,0.14051418439716312,39.625,0.14051418439716312
llama_3_1_8b,shared54,O-Low,24,882,6768,0.13031914893617022,36.75,0.13031914893617022
llama_3_1_8b,shared54,E-High,24,926,6768,0.13682033096926713,38.583333333333336,0.13682033096926713
llama_3_1_8b,shared54,E-Low,24,907,6768,0.13401300236406619,37.791666666666664,0.13401300236406619
llama_3_1_8b,shared54,Neutral,6,228,1692,0.1347517730496454,38.0,0.1347517730496454
mistral_small_3_24b_awq,shared54,C-High,24,2006,6768,0.29639479905437355,83.58333333333333,0.29639479905437355
mistral_small_3_24b_awq,shared54,C-Low,24,2044,6768,0.30200945626477543,85.16666666666667,0.30200945626477543
mistral_small_3_24b_awq,shared54,O-High,24,2024,6768,0.2990543735224586,84.33333333333333,0.2990543735224586
mistral_small_3_24b_awq,shared54,O-Low,24,2026,6768,0.2993498817966903,84.41666666666667,0.2993498817966903
mistral_small_3_24b_awq,shared54,E-High,24,2046,6768,0.30230496453900707,85.25,0.30230496453900707
mistral_small_3_24b_awq,shared54,E-Low,24,2004,6768,0.29609929078014185,83.5,0.29609929078014185
mistral_small_3_24b_awq,shared54,Neutral,6,512,1692,0.30260047281323876,85.33333333333333,0.30260047281323876
qwen2.5-32b-awq,shared54,C-High,24,2739,6768,0.4046985815602837,114.125,0.4046985815602837
qwen2.5-32b-awq,shared54,C-Low,24,2733,6768,0.40381205673758863,113.875,0.4038120567375887
qwen2.5-32b-awq,shared54,O-High,24,2745,6768,0.40558510638297873,114.375,0.40558510638297873
qwen2.5-32b-awq,shared54,O-Low,24,2727,6768,0.4029255319148936,113.625,0.4029255319148936
qwen2.5-32b-awq,shared54,E-High,24,2759,6768,0.40765366430260047,114.95833333333333,0.40765366430260047
qwen2.5-32b-awq,shared54,E-Low,24,2713,6768,0.40085697399527187,113.04166666666667,0.40085697399527187
qwen2.5-32b-awq,shared54,Neutral,6,697,1692,0.4119385342789598,116.16666666666667,0.4119385342789598
qwen2_5_1_5b,shared54,C-High,24,571,6768,0.08436761229314421,23.791666666666668,0.08436761229314421
qwen2_5_1_5b,shared54,C-Low,24,531,6768,0.07845744680851063,22.125,0.07845744680851065
qwen2_5_1_5b,shared54,O-High,24,570,6768,0.08421985815602837,23.75,0.08421985815602838
qwen2_5_1_5b,shared54,O-Low,24,532,6768,0.07860520094562648,22.166666666666668,0.07860520094562648
qwen2_5_1_5b,shared54,E-High,24,550,6768,0.08126477541371159,22.916666666666668,0.08126477541371159
qwen2_5_1_5b,shared54,E-Low,24,552,6768,0.08156028368794327,23.0,0.08156028368794326
qwen2_5_1_5b,shared54,Neutral,6,142,1692,0.08392434988179669,23.666666666666668,0.08392434988179669
