model,assignment,mixed_profile_assignment,planner_profile,implementer_profile,reviewer_profile,passed,evaluated,pass_at_1,baseline_passed,baseline_pass_at_1,delta_passed,delta_pass_at_1,beat_self_report
llama_3_1_8b,mixed24,LLH_sadness;LLH_happiness;LLH_happiness,LLH_sadness,LLH_happiness,LLH_happiness,57,282,0.20212765957446807,49,0.17375886524822695,8,0.02836879432624112,1
llama_3_1_8b,mixed24,LLH_sadness;LLH_happiness;NNN_neutral,LLH_sadness,LLH_happiness,NNN_neutral,55,282,0.1950354609929078,49,0.17375886524822695,6,0.021276595744680854,1
llama_3_1_8b,mixed24,LLH_happiness;LLH_happiness;NNN_neutral,LLH_happiness,LLH_happiness,NNN_neutral,54,282,0.19148936170212766,49,0.17375886524822695,5,0.017730496453900707,1
llama_3_1_8b,mixed24,LLH_sadness;NNN_neutral;LLH_happiness,LLH_sadness,NNN_neutral,LLH_happiness,54,282,0.19148936170212766,49,0.17375886524822695,5,0.017730496453900707,1
llama_3_1_8b,mixed24,LLH_sadness;NNN_neutral;NNN_neutral,LLH_sadness,NNN_neutral,NNN_neutral,54,282,0.19148936170212766,49,0.17375886524822695,5,0.017730496453900707,1
llama_3_1_8b,mixed24,LLH_sadness;LLH_happiness;LLH_sadness,LLH_sadness,LLH_happiness,LLH_sadness,53,282,0.1879432624113475,49,0.17375886524822695,4,0.01418439716312056,1
llama_3_1_8b,mixed24,LLH_sadness;LLH_sadness;NNN_neutral,LLH_sadness,LLH_sadness,NNN_neutral,52,282,0.18439716312056736,49,0.17375886524822695,3,0.010638297872340413,1
llama_3_1_8b,mixed24,LLH_sadness;LLH_sadness;LLH_happiness,LLH_sadness,LLH_sadness,LLH_happiness,51,282,0.18085106382978725,49,0.17375886524822695,2,0.007092198581560294,1
llama_3_1_8b,mixed24,LLH_sadness;NNN_neutral;LLH_sadness,LLH_sadness,NNN_neutral,LLH_sadness,50,282,0.1773049645390071,49,0.17375886524822695,1,0.003546099290780147,1
llama_3_1_8b,mixed24,NNN_neutral;LLH_happiness;LLH_happiness,NNN_neutral,LLH_happiness,LLH_happiness,50,282,0.1773049645390071,49,0.17375886524822695,1,0.003546099290780147,1
llama_3_1_8b,mixed24,NNN_neutral;LLH_happiness;LLH_sadness,NNN_neutral,LLH_happiness,LLH_sadness,50,282,0.1773049645390071,49,0.17375886524822695,1,0.003546099290780147,1
llama_3_1_8b,mixed24,NNN_neutral;LLH_happiness;NNN_neutral,NNN_neutral,LLH_happiness,NNN_neutral,50,282,0.1773049645390071,49,0.17375886524822695,1,0.003546099290780147,1
llama_3_1_8b,mixed24,LLH_happiness;NNN_neutral;LLH_happiness,LLH_happiness,NNN_neutral,LLH_happiness,49,282,0.17375886524822695,49,0.17375886524822695,0,0.0,0
llama_3_1_8b,mixed24,NNN_neutral;NNN_neutral;LLH_happiness,NNN_neutral,NNN_neutral,LLH_happiness,49,282,0.17375886524822695,49,0.17375886524822695,0,0.0,0
llama_3_1_8b,mixed24,LLH_happiness;NNN_neutral;LLH_sadness,LLH_happiness,NNN_neutral,LLH_sadness,48,282,0.1702127659574468,49,0.17375886524822695,-1,-0.003546099290780147,0
llama_3_1_8b,mixed24,LLH_happiness;LLH_happiness;LLH_sadness,LLH_happiness,LLH_happiness,LLH_sadness,47,282,0.16666666666666666,49,0.17375886524822695,-2,-0.007092198581560294,0
llama_3_1_8b,mixed24,LLH_happiness;LLH_sadness;LLH_sadness,LLH_happiness,LLH_sadness,LLH_sadness,47,282,0.16666666666666666,49,0.17375886524822695,-2,-0.007092198581560294,0
llama_3_1_8b,mixed24,LLH_happiness;NNN_neutral;NNN_neutral,LLH_happiness,NNN_neutral,NNN_neutral,47,282,0.16666666666666666,49,0.17375886524822695,-2,-0.007092198581560294,0
llama_3_1_8b,mixed24,NNN_neutral;LLH_sadness;NNN_neutral,NNN_neutral,LLH_sadness,NNN_neutral,47,282,0.16666666666666666,49,0.17375886524822695,-2,-0.007092198581560294,0
llama_3_1_8b,mixed24,NNN_neutral;NNN_neutral;LLH_sadness,NNN_neutral,NNN_neutral,LLH_sadness,47,282,0.16666666666666666,49,0.17375886524822695,-2,-0.007092198581560294,0
llama_3_1_8b,mixed24,NNN_neutral;LLH_sadness;LLH_happiness,NNN_neutral,LLH_sadness,LLH_happiness,46,282,0.16312056737588654,49,0.17375886524822695,-3,-0.010638297872340413,0
llama_3_1_8b,mixed24,LLH_happiness;LLH_sadness;LLH_happiness,LLH_happiness,LLH_sadness,LLH_happiness,45,282,0.1595744680851064,49,0.17375886524822695,-4,-0.01418439716312056,0
llama_3_1_8b,mixed24,LLH_happiness;LLH_sadness;NNN_neutral,LLH_happiness,LLH_sadness,NNN_neutral,43,282,0.1524822695035461,49,0.17375886524822695,-6,-0.021276595744680854,0
llama_3_1_8b,mixed24,NNN_neutral;LLH_sadness;LLH_sadness,NNN_neutral,LLH_sadness,LLH_sadness,43,282,0.1524822695035461,49,0.17375886524822695,-6,-0.021276595744680854,0
mistral_small_3_24b_awq,mixed24,HHH_happiness;LLH_fear;LHH_neutral,HHH_happiness,LLH_fear,LHH_neutral,104,282,0.36879432624113473,89,0.31560283687943264,15,0.05319148936170209,1
mistral_small_3_24b_awq,mixed24,HHH_happiness;LLH_fear;LLH_fear,HHH_happiness,LLH_fear,LLH_fear,101,282,0.35815602836879434,89,0.31560283687943264,12,0.04255319148936171,1
mistral_small_3_24b_awq,mixed24,HHH_happiness;LLH_fear;HHH_happiness,HHH_happiness,LLH_fear,HHH_happiness,99,282,0.35106382978723405,89,0.31560283687943264,10,0.035460992907801414,1
mistral_small_3_24b_awq,mixed24,HHH_happiness;LHH_neutral;HHH_happiness,HHH_happiness,LHH_neutral,HHH_happiness,98,282,0.3475177304964539,89,0.31560283687943264,9,0.03191489361702127,1
mistral_small_3_24b_awq,mixed24,HHH_happiness;LHH_neutral;LHH_neutral,HHH_happiness,LHH_neutral,LHH_neutral,98,282,0.3475177304964539,89,0.31560283687943264,9,0.03191489361702127,1
mistral_small_3_24b_awq,mixed24,HHH_happiness;HHH_happiness;LHH_neutral,HHH_happiness,HHH_happiness,LHH_neutral,96,282,0.3404255319148936,89,0.31560283687943264,7,0.024822695035460973,1
