analysis_scope,result_type,effect,comparison,reference,chi_square,df,log_odds_estimate,std_error,z_value,odds_ratio,p_value,q_value_bh,bh_family,note
Overall,Main effect,Emotion,Overall effect,,1569.97358914166,5,NA,NA,NA,NA,0,0,main_effects,
Overall,Main effect,Conscientiousness,Overall effect,,2273.37766634986,1,NA,NA,NA,NA,0,0,main_effects,
Overall,Main effect,Openness,Overall effect,,86.7347918486848,1,NA,NA,NA,NA,1.24094410539719e-20,1.65459214052958e-20,main_effects,
Overall,Main effect,Extraversion,Overall effect,,42.9672801100023,1,NA,NA,NA,NA,5.56630663573454e-11,5.56630663573454e-11,main_effects,
Overall,Emotion contrast,Emotion,Anger vs happiness,Happiness,NA,NA,0.461765444339001,0.0366251548365427,12.6078769195612,1.58687304951314,1.91071031793033e-36,3.05713650868853e-36,planned_contrasts,
Overall,Emotion contrast,Emotion,Disgust vs happiness,Happiness,NA,NA,0.465238400852532,0.0366325118668875,12.7001501437598,1.59239377167161,5.90163746956565e-37,1.18032749391313e-36,planned_contrasts,
Overall,Emotion contrast,Emotion,Fear vs happiness,Happiness,NA,NA,1.37459742707018,0.0397654530215144,34.5676290001393,3.95348483654324,7.74666840986163e-262,3.09866736394465e-261,planned_contrasts,
Overall,Emotion contrast,Emotion,Neutral vs happiness,Happiness,NA,NA,0.0918442055744701,0.0360225060835786,2.54963398052804,1.09619402785793,0.0107836067111536,0.0107836067111536,planned_contrasts,
Overall,Emotion contrast,Emotion,Sadness vs happiness,Happiness,NA,NA,0.611912400557914,0.03697307781085,16.5502153672028,1.84395440844457,1.59530948541044e-61,4.25415862776118e-61,planned_contrasts,
Overall,Trait contrast,Conscientiousness,High vs low,Low,NA,NA,1.03884521746518,0.0223251326914151,46.532543919197,2.8259517696428,0,0,planned_contrasts,
Overall,Trait contrast,Openness,High vs low,Low,NA,NA,0.202556294514044,0.0217313399125474,9.3209298335576,1.22452901744761,1.1532514211624e-20,1.53766856154987e-20,planned_contrasts,
Overall,Trait contrast,Extraversion,High vs low,Low,NA,NA,-0.142561669561444,0.0217190527884163,-6.56389903142917,0.867134076865073,5.24187025778289e-11,5.99070886603759e-11,planned_contrasts,
Model: Llama 8B,Main effect,Emotion,Overall effect,,218.762392297252,5,NA,NA,NA,NA,2.73570875131016e-45,5.47141750262032e-45,main_effects,
Model: Llama 8B,Main effect,Conscientiousness,Overall effect,,215.824239976155,1,NA,NA,NA,NA,7.36651781107047e-49,2.94660712442819e-48,main_effects,
Model: Llama 8B,Main effect,Openness,Overall effect,,3.85174379325326,1,NA,NA,NA,NA,0.0496942991971864,0.0662590655962485,main_effects,
Model: Llama 8B,Main effect,Extraversion,Overall effect,,0.577308209582952,1,NA,NA,NA,NA,0.447369355248357,0.447369355248357,main_effects,
Model: Llama 8B,Emotion contrast,Emotion,Anger vs happiness,Happiness,NA,NA,0.819821583660566,0.108701258763484,7.54196955018125,2.27009477939828,4.62925857010273e-14,1.2344689520274e-13,planned_contrasts,
Model: Llama 8B,Emotion contrast,Emotion,Disgust vs happiness,Happiness,NA,NA,0.312871187919995,0.101987699552874,3.06773453359238,1.36734538907959,0.00215688132305144,0.0034510101168823,planned_contrasts,
Model: Llama 8B,Emotion contrast,Emotion,Fear vs happiness,Happiness,NA,NA,1.50210778405778,0.122256342651435,12.2865427795467,4.49114546563103,1.06984359118715e-34,4.27937436474862e-34,planned_contrasts,
Model: Llama 8B,Emotion contrast,Emotion,Neutral vs happiness,Happiness,NA,NA,0.126161411378835,0.100082074526789,1.26057949912964,1.13446526910868,0.207460388692373,0.237097587076997,planned_contrasts,
Model: Llama 8B,Emotion contrast,Emotion,Sadness vs happiness,Happiness,NA,NA,0.448941282443591,0.103557371559789,4.33519387062074,1.56665266448248,1.4563171506538e-05,2.91263430130759e-05,planned_contrasts,
Model: Llama 8B,Trait contrast,Conscientiousness,High vs low,Low,NA,NA,0.937972214318802,0.0654361267006633,14.3341646520361,2.554795584322,1.33847362203254e-46,1.07077889762604e-45,planned_contrasts,
Model: Llama 8B,Trait contrast,Openness,High vs low,Low,NA,NA,-0.12410382286309,0.0631462689694197,-1.96533896441595,0.883288130619368,0.0493750186656031,0.0658333582208041,planned_contrasts,
Model: Llama 8B,Trait contrast,Extraversion,High vs low,Low,NA,NA,0.0480393564343144,0.0631117371648822,0.761179434956916,1.04921194775301,0.446549899789222,0.446549899789222,planned_contrasts,
Model: Mistral 24B,Main effect,Emotion,Overall effect,,910.101806986953,5,NA,NA,NA,NA,1.73295861387655e-194,3.46591722775309e-194,main_effects,
Model: Mistral 24B,Main effect,Conscientiousness,Overall effect,,2906.88872586169,1,NA,NA,NA,NA,0,0,main_effects,
Model: Mistral 24B,Main effect,Openness,Overall effect,,594.177508800014,1,NA,NA,NA,NA,3.09205648416474e-131,4.12274197888632e-131,main_effects,
Model: Mistral 24B,Main effect,Extraversion,Overall effect,,8.9114495562535,1,NA,NA,NA,NA,0.00283388230945567,0.00283388230945567,main_effects,
Model: Mistral 24B,Emotion contrast,Emotion,Anger vs happiness,Happiness,NA,NA,1.07351653884807,0.0794246055476996,13.5161708571956,2.9256495922514,1.25542284347814e-41,2.00867654956502e-41,planned_contrasts,
Model: Mistral 24B,Emotion contrast,Emotion,Disgust vs happiness,Happiness,NA,NA,0.501971559500392,0.0764811631225381,6.56333584645063,1.65197502922018,5.26171543741447e-11,7.0156205832193e-11,planned_contrasts,
Model: Mistral 24B,Emotion contrast,Emotion,Fear vs happiness,Happiness,NA,NA,2.36003542762378,0.0936263325410266,25.2069622249662,10.5913266713239,3.36006875510481e-140,1.34402750204192e-139,planned_contrasts,
Model: Mistral 24B,Emotion contrast,Emotion,Neutral vs happiness,Happiness,NA,NA,0.346145431688348,0.0759615853211571,4.55684844154955,1.41360818429413,5.19268641860397e-06,5.93449876411882e-06,planned_contrasts,
Model: Mistral 24B,Emotion contrast,Emotion,Sadness vs happiness,Happiness,NA,NA,1.16639255428788,0.0800683801614264,14.5674553667291,3.21039041477859,4.52431956341928e-48,9.04863912683856e-48,planned_contrasts,
Model: Mistral 24B,Trait contrast,Conscientiousness,High vs low,Low,NA,NA,2.6148277149145,0.0560076587581206,46.6869669772685,13.6648619231761,0,0,planned_contrasts,
Model: Mistral 24B,Trait contrast,Openness,High vs low,Low,NA,NA,1.16118458466393,0.0488618817945737,23.7646308741406,3.19371426116035,7.756596957272e-125,2.06842585527253e-124,planned_contrasts,
Model: Mistral 24B,Trait contrast,Extraversion,High vs low,Low,NA,NA,-0.141492897861437,0.0471565301644209,-3.00049425536809,0.868061340654922,0.00269541838004435,0.00269541838004435,planned_contrasts,
Model: Qwen 1.5B,Main effect,Emotion,Overall effect,,620.948816628534,5,NA,NA,NA,NA,6.01418424142763e-132,2.40567369657105e-131,main_effects,
Model: Qwen 1.5B,Main effect,Conscientiousness,Overall effect,,498.718627741051,1,NA,NA,NA,NA,1.80622456065711e-110,3.61244912131422e-110,main_effects,
Model: Qwen 1.5B,Main effect,Openness,Overall effect,,47.8649300063571,1,NA,NA,NA,NA,4.56616642318737e-12,4.56616642318737e-12,main_effects,
Model: Qwen 1.5B,Main effect,Extraversion,Overall effect,,170.510819290483,1,NA,NA,NA,NA,5.72267939726281e-39,7.63023919635042e-39,main_effects,
Model: Qwen 1.5B,Emotion contrast,Emotion,Anger vs happiness,Happiness,NA,NA,0.0736176393411954,0.0707177536130364,1.04100647404649,1.07639515564104,0.297872543569904,0.297872543569904,planned_contrasts,
Model: Qwen 1.5B,Emotion contrast,Emotion,Disgust vs happiness,Happiness,NA,NA,0.885157696353892,0.0700894383668395,12.6289740220357,2.42336651741876,1.46171630049333e-36,2.92343260098667e-36,planned_contrasts,
Model: Qwen 1.5B,Emotion contrast,Emotion,Fear vs happiness,Happiness,NA,NA,1.26437373968289,0.0709330319060048,17.8248935045994,3.54087453238749,4.52952493791093e-71,1.81180997516437e-70,planned_contrasts,
Model: Qwen 1.5B,Emotion contrast,Emotion,Neutral vs happiness,Happiness,NA,NA,-0.137212317031783,0.0714561486640462,-1.92023107314238,0.871785111654068,0.0548287183114353,0.0626613923559261,planned_contrasts,
Model: Qwen 1.5B,Emotion contrast,Emotion,Sadness vs happiness,Happiness,NA,NA,0.442706151477822,0.0700124859462214,6.32324571102757,1.55691477001345,2.56125536928664e-10,3.41500715904886e-10,planned_contrasts,
Model: Qwen 1.5B,Trait contrast,Conscientiousness,High vs low,Low,NA,NA,0.908901822410316,0.0410889838523337,22.1203285454014,2.48159580354394,2.01456002648205e-108,1.61164802118564e-107,planned_contrasts,
Model: Qwen 1.5B,Trait contrast,Openness,High vs low,Low,NA,NA,-0.28189556152725,0.0404932836738378,-6.96153870350058,0.754352463838461,3.36576060557689e-12,5.38521696892302e-12,planned_contrasts,
Model: Qwen 1.5B,Trait contrast,Extraversion,High vs low,Low,NA,NA,-0.531946097444553,0.0406626478493377,-13.0819345413881,0.587460600938725,4.1767318677946e-39,1.11379516474523e-38,planned_contrasts,
Model: Qwen 32B,Main effect,Emotion,Overall effect,,503.790288242126,5,NA,NA,NA,NA,1.21368495685961e-106,4.85473982743846e-106,main_effects,
Model: Qwen 32B,Main effect,Conscientiousness,Overall effect,,94.803463854123,1,NA,NA,NA,NA,2.10257405634288e-22,4.20514811268577e-22,main_effects,
Model: Qwen 32B,Main effect,Openness,Overall effect,,27.4544427771561,1,NA,NA,NA,NA,1.60838957009007e-07,2.14451942678675e-07,main_effects,
Model: Qwen 32B,Main effect,Extraversion,Overall effect,,12.6229822954447,1,NA,NA,NA,NA,0.000381032940444682,0.000381032940444682,main_effects,
Model: Qwen 32B,Emotion contrast,Emotion,Anger vs happiness,Happiness,NA,NA,0.610048726158804,0.0848378229601821,7.19076356361861,1.84052107811909,6.44299721322213e-13,1.28859944264443e-12,planned_contrasts,
Model: Qwen 32B,Emotion contrast,Emotion,Disgust vs happiness,Happiness,NA,NA,0.364080073914201,0.0844714385686847,4.31009676268463,1.43918945107687,1.63183127912881e-05,2.17577503883841e-05,planned_contrasts,
Model: Qwen 32B,Emotion contrast,Emotion,Fear vs happiness,Happiness,NA,NA,1.70706119347025,0.0895589124522724,19.0607628735998,5.51273678182894,5.34892086713023e-81,4.27913669370419e-80,planned_contrasts,
Model: Qwen 32B,Emotion contrast,Emotion,Neutral vs happiness,Happiness,NA,NA,0.180298043954153,0.0843524748127398,2.13743632720213,1.19757423969851,0.0325625193820875,0.0325625193820875,planned_contrasts,
Model: Qwen 32B,Emotion contrast,Emotion,Sadness vs happiness,Happiness,NA,NA,0.958444786948941,0.0857677448323915,11.1748861861991,2.60763788578452,5.41197049403812e-29,2.16478819761525e-28,planned_contrasts,
Model: Qwen 32B,Trait contrast,Conscientiousness,High vs low,Low,NA,NA,0.4842357941178,0.049675894966136,9.74790276950025,1.62293427889569,1.88318389081107e-22,5.02182370882951e-22,planned_contrasts,
Model: Qwen 32B,Trait contrast,Openness,High vs low,Low,NA,NA,0.260387176677222,0.0494228872549322,5.26855453292515,1.29743232496852,1.37502195622971e-07,2.20003512996753e-07,planned_contrasts,
Model: Qwen 32B,Trait contrast,Extraversion,High vs low,Low,NA,NA,0.176531005772161,0.0493672321251474,3.57587408029378,1.19307141828669,0.000349059646884506,0.000398925310725149,planned_contrasts,
