model,assignment,personality_group,instances,passed,revised,overrevised,pass_rate,revision_rate,overrevision_rate
qwen2_5_1_5b,shared54,C-High,6768,571,3464,0,0.08436761229314421,0.5118203309692672,0.0
qwen2_5_1_5b,shared54,C-Low,6768,531,2352,0,0.07845744680851063,0.3475177304964539,0.0
qwen2_5_1_5b,shared54,O-High,6768,570,2738,0,0.08421985815602837,0.40455082742316784,0.0
qwen2_5_1_5b,shared54,O-Low,6768,532,3078,0,0.07860520094562648,0.45478723404255317,0.0
qwen2_5_1_5b,shared54,E-High,6768,550,2586,0,0.08126477541371159,0.3820921985815603,0.0
qwen2_5_1_5b,shared54,E-Low,6768,552,3230,0,0.08156028368794327,0.47724586288416077,0.0
qwen2_5_1_5b,shared54,Neutral,1692,142,779,0,0.08392434988179669,0.4604018912529551,0.0
llama_3_1_8b,shared54,C-High,6768,838,6159,527,0.12381796690307328,0.9100177304964538,0.07786643026004728
llama_3_1_8b,shared54,C-Low,6768,995,5691,283,0.14701536643026006,0.8408687943262412,0.041814420803782504
llama_3_1_8b,shared54,O-High,6768,951,5894,341,0.14051418439716312,0.8708628841607565,0.050384160756501185
llama_3_1_8b,shared54,O-Low,6768,882,5956,469,0.13031914893617022,0.8800236406619385,0.0692966903073286
llama_3_1_8b,shared54,E-High,6768,926,5937,382,0.13682033096926713,0.8772163120567376,0.05644208037825059
llama_3_1_8b,shared54,E-Low,6768,907,5913,428,0.13401300236406619,0.8736702127659575,0.06323877068557919
llama_3_1_8b,shared54,Neutral,1692,228,1497,83,0.1347517730496454,0.8847517730496454,0.04905437352245863
mistral_small_3_24b_awq,shared54,C-High,6768,2006,6064,1733,0.29639479905437355,0.8959810874704491,0.2560579196217494
mistral_small_3_24b_awq,shared54,C-Low,6768,2044,3580,737,0.30200945626477543,0.5289598108747045,0.10889479905437352
mistral_small_3_24b_awq,shared54,O-High,6768,2024,5346,1272,0.2990543735224586,0.7898936170212766,0.1879432624113475
mistral_small_3_24b_awq,shared54,O-Low,6768,2026,4298,1198,0.2993498817966903,0.6350472813238771,0.1770094562647754
mistral_small_3_24b_awq,shared54,E-High,6768,2046,4759,1230,0.30230496453900707,0.703161938534279,0.18173758865248227
mistral_small_3_24b_awq,shared54,E-Low,6768,2004,4885,1240,0.29609929078014185,0.7217789598108747,0.18321513002364065
mistral_small_3_24b_awq,shared54,Neutral,1692,512,1307,335,0.30260047281323876,0.7724586288416075,0.1979905437352246
qwen2.5-32b-awq,shared54,C-High,6768,2739,4566,789,0.4046985815602837,0.674645390070922,0.11657801418439716
qwen2.5-32b-awq,shared54,C-Low,6768,2733,4173,579,0.40381205673758863,0.6165780141843972,0.08554964539007093
qwen2.5-32b-awq,shared54,O-High,6768,2745,4475,741,0.40558510638297873,0.6611997635933806,0.10948581560283688
qwen2.5-32b-awq,shared54,O-Low,6768,2727,4264,627,0.4029255319148936,0.6300236406619385,0.09264184397163121
qwen2.5-32b-awq,shared54,E-High,6768,2759,4441,741,0.40765366430260047,0.6561761229314421,0.10948581560283688
qwen2.5-32b-awq,shared54,E-Low,6768,2713,4298,627,0.40085697399527187,0.6350472813238771,0.09264184397163121
qwen2.5-32b-awq,shared54,Neutral,1692,697,1183,239,0.4119385342789598,0.6991725768321513,0.14125295508274233
overall,shared54,C-High,27072,6154,20253,3049,0.22731973995271867,0.7481161347517731,0.11262559101654847
overall,shared54,C-Low,27072,6303,15796,1599,0.23282358156028368,0.5834810874704491,0.05906471631205674
overall,shared54,O-High,27072,6290,18453,2354,0.2323433806146572,0.6816267730496454,0.0869533096926714
overall,shared54,O-Low,27072,6167,17596,2294,0.22779994089834515,0.6499704491725768,0.0847369976359338
overall,shared54,E-High,27072,6281,17723,2353,0.23201093380614657,0.6546616430260047,0.08691637115839243
overall,shared54,E-Low,27072,6176,18326,2295,0.2281323877068558,0.6769355791962175,0.08477393617021277
overall,shared54,Neutral,6768,1579,4766,657,0.23330378250591016,0.7041962174940898,0.09707446808510638
