model,assignment,emotion,instances,calls,prompt_tokens,completion_tokens,total_tokens,calls_per_instance,prompt_tokens_per_instance,completion_tokens_per_instance,total_tokens_per_instance,prompt_tokens_per_call,completion_tokens_per_call,total_tokens_per_call
qwen2_5_1_5b,shared54,fear,2538,12724,25438209,6466360,31904569,5.013396375098503,10022.93498817967,2547.8171788810087,12570.752167060678,1999.2305092738134,508.20182332599813,2507.432332599811
qwen2_5_1_5b,shared54,anger,2538,11005,21008281,5390904,26399185,4.336091410559495,8277.494483845549,2124.075650118203,10401.57013396375,1908.9760109041345,489.8595184007269,2398.835529304861
qwen2_5_1_5b,shared54,sadness,2538,11751,23376632,5782132,29158764,4.630023640661938,9210.650906225374,2278.2237982663514,11488.874704491725,1989.3312909539613,492.0544634499192,2481.3857544038806
qwen2_5_1_5b,shared54,disgust,2538,12092,23881531,5943667,29825198,4.764381402679275,9409.586682427109,2341.8703703703704,11751.457052797477,1974.9860238173999,491.5371319880913,2466.523155805491
qwen2_5_1_5b,shared54,neutral,2538,10277,19200269,4808135,24008404,4.049251379038613,7565.11780929866,1894.4582348305753,9459.576044129235,1868.2756641043106,467.8539457039992,2336.12960980831
qwen2_5_1_5b,shared54,happiness,2538,10536,19995219,4963885,24959104,4.15130023640662,7878.336879432624,1955.8254531126872,9834.162332545311,1897.7998291571755,471.1356302201974,2368.935459377373
llama_3_1_8b,shared54,fear,2538,19278,37351831,9267810,46619641,7.595744680851064,14717.033490937747,3651.6193853427894,18368.652876280536,1937.5366220562298,480.74540927482104,2418.282031331051
llama_3_1_8b,shared54,anger,2538,18856,35788287,8890089,44678376,7.429472025216706,14100.979905437352,3502.793144208038,17603.77304964539,1897.9787335596097,471.47268773865085,2369.4514212982604
llama_3_1_8b,shared54,sadness,2538,18472,34849260,8411575,43260835,7.278171788810087,13730.99290780142,3314.2533490937744,17045.246256895192,1886.599177132958,455.3689367691641,2341.9681139021222
llama_3_1_8b,shared54,disgust,2538,18310,34714424,8485309,43199733,7.214342001576044,13677.866036249015,3343.3053585500393,17021.171394799054,1895.9270344074275,463.4248498088476,2359.3518842162753
llama_3_1_8b,shared54,neutral,2538,17974,34448280,8359397,42807677,7.081954294720252,13573.002364066193,3293.6946414499607,16866.697005516155,1916.5617002336708,465.0827306108824,2381.6444308445534
llama_3_1_8b,shared54,happiness,2538,17965,33655417,8076647,41732064,7.078408195429472,13260.605594956658,3182.288022064618,16442.893617021276,1873.3880879487892,449.5767881992764,2322.9648761480657
mistral_small_3_24b_awq,shared54,fear,2538,17640,33355535,7212941,40568476,6.950354609929078,13142.4487785658,2841.978329393223,15984.427107959023,1890.903344671202,408.8968820861678,2299.8002267573697
mistral_small_3_24b_awq,shared54,anger,2538,17210,32563749,7162121,39725870,6.780929866036249,12830.476359338061,2821.9546887312845,15652.431048069346,1892.1411388727483,416.16042998256825,2308.301568855317
mistral_small_3_24b_awq,shared54,sadness,2538,17107,32752722,7212023,39964745,6.740346729708432,12904.933806146571,2841.6166272655632,15746.550433412136,1914.5801134038697,421.5831530952242,2336.163266499094
mistral_small_3_24b_awq,shared54,disgust,2538,16126,31204893,7196013,38400906,6.353821907013397,12295.072104018913,2835.308510638298,15130.38061465721,1935.0671586258215,446.23669849931787,2381.3038571251395
