model,assignment,personality_group,instances,calls,prompt_tokens,completion_tokens,total_tokens,calls_per_instance,prompt_tokens_per_instance,completion_tokens_per_instance,total_tokens_per_instance,prompt_tokens_per_call,completion_tokens_per_call,total_tokens_per_call
qwen2_5_1_5b,shared54,C-High,6768,32594,65513461,16389572,81903033,4.8158983451536646,9679.884899527187,2421.6270685579198,12101.511968085106,2009.985304043689,502.8401546296864,2512.8254586733756
qwen2_5_1_5b,shared54,C-Low,6768,28135,52400234,13142497,65542731,4.157062647754137,7742.351359338061,1941.8583037825058,9684.209663120568,1862.4572240980985,467.12269415318997,2329.5799182512883
qwen2_5_1_5b,shared54,O-High,6768,29678,57618284,14737478,72355762,4.385047281323877,8513.339834515367,2177.523345153664,10690.863179669032,1941.4476716759889,496.5792169283644,2438.026888604353
qwen2_5_1_5b,shared54,O-Low,6768,31051,60295411,14794591,75090002,4.587913711583925,8908.896424349881,2185.962027186761,11094.858451536644,1941.8186531834724,476.4610157482851,2418.2796689317574
qwen2_5_1_5b,shared54,E-High,6768,29045,55773163,13993082,69766245,4.2915189125295505,8240.715573286052,2067.535756501182,10308.251329787234,1920.2328455844379,481.77249096229986,2402.005336546738
qwen2_5_1_5b,shared54,E-Low,6768,31684,62140532,15538987,77679519,4.68144208037825,9181.520685579197,2295.9496158392435,11477.47030141844,1961.2590581997222,490.43640323191516,2451.6954614316373
qwen2_5_1_5b,shared54,Neutral,1692,7656,14986446,3823014,18809460,4.524822695035461,8857.237588652482,2259.4645390070923,11116.702127659575,1957.4772727272727,499.3487460815047,2456.8260188087775
llama_3_1_8b,shared54,C-High,6768,50537,99151389,24966549,124117938,7.467050827423168,14650.027925531915,3688.910904255319,18338.938829787236,1961.956368601223,494.0251498901795,2455.9815184914023
llama_3_1_8b,shared54,C-Low,6768,47935,87793921,20675584,108469505,7.082594562647754,12971.915041371158,3054.903073286052,16026.81811465721,1831.5202044435173,431.3254198393658,2262.845624282883
llama_3_1_8b,shared54,O-High,6768,49115,94766268,23427807,118194075,7.256944444444445,14002.10815602837,3461.5554078014184,17463.66356382979,1929.4771047541485,476.99902270182224,2406.4761274559705
llama_3_1_8b,shared54,O-Low,6768,49357,92179042,22214326,114393368,7.2927009456264775,13619.834810874705,3282.2585697399527,16902.093380614657,1867.5981522377779,450.07447778430617,2317.672630022084
llama_3_1_8b,shared54,E-High,6768,49339,93759727,22876293,116636020,7.2900413711583925,13853.387559101655,3380.0669326241136,17233.45449172577,1900.3167271326943,463.6553841788443,2363.9721113115384
llama_3_1_8b,shared54,E-Low,6768,49133,93185583,22765840,115951423,7.25960401891253,13768.55540780142,3363.747044917258,17132.302452718675,1896.5986811308082,463.35131174566993,2359.949992876478
llama_3_1_8b,shared54,Neutral,1692,12383,23862189,5848694,29710883,7.31855791962175,14102.948581560284,3456.674940898345,17559.623522458627,1927.0119518694985,472.31640151821045,2399.328353387709
mistral_small_3_24b_awq,shared54,C-High,6768,49905,102905879,24226972,127132851,7.3736702127659575,15204.769355791963,3579.6353427895983,18784.40469858156,2062.035447349965,485.461817453161,2547.4972648031257
mistral_small_3_24b_awq,shared54,C-Low,6768,37175,63121044,12061146,75182190,5.492760047281324,9326.395390070922,1782.084219858156,11108.479609929078,1697.9433490248823,324.44239408204436,2022.3857431069266
mistral_small_3_24b_awq,shared54,O-High,6768,46048,90831718,20149568,110981286,6.803782505910165,13420.762115839243,2977.1820330969267,16397.94414893617,1972.5442581653926,437.57748436414175,2410.1217425295345
mistral_small_3_24b_awq,shared54,O-Low,6768,41032,75195205,16138550,91333755,6.0626477541371155,11110.40263002364,2384.5375295508275,13494.940159574468,1832.599069019302,393.3161922402028,2225.915261259505
mistral_small_3_24b_awq,shared54,E-High,6768,43187,82614398,18233241,100847639,6.38105791962175,12206.619089834516,2694.036790780142,14900.655880614657,1912.9459791140853,422.1928126519554,2335.138791766041
mistral_small_3_24b_awq,shared54,E-Low,6768,43893,83412525,18054877,101467402,6.485372340425532,12324.54565602837,2667.6827718676122,14992.228427895981,1900.3605358485408,411.3384138700932,2311.698949718634
mistral_small_3_24b_awq,shared54,Neutral,1692,11336,21699914,4926342,26626256,6.699763593380615,12825.008274231679,2911.549645390071,15736.55791962175,1914.247882851094,434.57498235709244,2348.822865208186
qwen2.5-32b-awq,shared54,C-High,6768,40686,81256232,20624433,101880665,6.011524822695035,12005.944444444445,3047.3453014184397,15053.289745862885,1997.1545986334365,506.91719510396695,2504.0717937374034
qwen2.5-32b-awq,shared54,C-Low,6768,39258,68927563,14568089,83495652,5.800531914893617,10184.332594562648,2152.4954196217495,12336.828014184397,1755.758393193744,371.08586784859136,2126.8442610423353
qwen2.5-32b-awq,shared54,O-High,6768,40450,79248709,19867590,99116299,5.976654846335697,11709.324615839243,2935.5186170212764,14644.84323286052,1959.1769839307788,491.16415327564897,2450.341137206428
qwen2.5-32b-awq,shared54,O-Low,6768,39494,70935086,15324932,86260018,5.835401891252955,10480.952423167848,2264.3221040189123,12745.27452718676,1796.097787005621,388.0319035802907,2184.1296905859117
qwen2.5-32b-awq,shared54,E-High,6768,40108,75471419,17820375,93291794,5.92612293144208,11151.214391252955,2633.034131205674,13784.248522458629,1881.7048718460157,444.30973870549514,2326.014610551511
qwen2.5-32b-awq,shared54,E-Low,6768,39836,74712376,17372147,92084523,5.885933806146572,11039.062647754137,2566.8065898345153,13605.869237588653,1875.4989456772769,436.0916507681494,2311.5905964454264
qwen2.5-32b-awq,shared54,Neutral,1692,10485,19850996,4828855,24679851,6.196808510638298,11732.267139479905,2853.9332151300237,14586.20035460993,1893.2757272293752,460.54887935145445,2353.82460658083
overall,shared54,C-High,27072,173722,348826961,86207526,435034487,6.417036052009457,12885.156656323878,3184.379654255319,16069.536310579197,2007.9607706565662,496.23839237402285,2504.1991630305893
overall,shared54,C-Low,27072,152503,272242762,60447316,332690078,5.633237293144208,10056.248596335698,2232.835254137116,12289.083850472813,1785.1633213772843,396.3680452187826,2181.531366596067
overall,shared54,O-High,27072,165291,322464979,78182443,400647422,6.105607269503546,11911.383680555555,2887.9448507683214,14799.328531323878,1950.8925410336922,472.99879001276537,2423.8913310464573
