model,assignment,emotion,personality,bleu
llama_3_1_8b,shared54,anger,HHH,5.881019893899204
llama_3_1_8b,shared54,anger,HHL,6.025909372236958
llama_3_1_8b,shared54,anger,HLH,5.91155658709107
llama_3_1_8b,shared54,anger,HLL,5.83876127320955
llama_3_1_8b,shared54,anger,LHH,5.72333510167993
llama_3_1_8b,shared54,anger,LHL,5.7345393457117595
llama_3_1_8b,shared54,anger,LLH,6.126975685234306
llama_3_1_8b,shared54,anger,LLL,5.987425287356322
llama_3_1_8b,shared54,anger,NNN,6.20722590627763
llama_3_1_8b,shared54,disgust,HHH,6.207655172413793
llama_3_1_8b,shared54,disgust,HHL,5.689047303271441
llama_3_1_8b,shared54,disgust,HLH,6.1188545534924845
llama_3_1_8b,shared54,disgust,HLL,5.981645446507516
llama_3_1_8b,shared54,disgust,LHH,6.07661759504863
llama_3_1_8b,shared54,disgust,LHL,5.979245800176835
llama_3_1_8b,shared54,disgust,LLH,6.173945623342175
llama_3_1_8b,shared54,disgust,LLL,6.758838196286471
llama_3_1_8b,shared54,disgust,NNN,5.897303713527852
llama_3_1_8b,shared54,fear,HHH,5.828911140583554
llama_3_1_8b,shared54,fear,HHL,5.727833333333334
llama_3_1_8b,shared54,fear,HLH,6.022206012378426
llama_3_1_8b,shared54,fear,HLL,5.713153846153846
llama_3_1_8b,shared54,fear,LHH,6.22972590627763
llama_3_1_8b,shared54,fear,LHL,5.90133465959328
llama_3_1_8b,shared54,fear,LLH,5.862522546419098
llama_3_1_8b,shared54,fear,LLL,5.741284703801945
llama_3_1_8b,shared54,fear,NNN,5.855711759504863
llama_3_1_8b,shared54,happiness,HHH,5.801606984969054
llama_3_1_8b,shared54,happiness,HHL,6.1065857648099025
llama_3_1_8b,shared54,happiness,HLH,5.925261715296198
llama_3_1_8b,shared54,happiness,HLL,5.8630923961096375
llama_3_1_8b,shared54,happiness,LHH,5.743428824049514
llama_3_1_8b,shared54,happiness,LHL,5.760514146772767
llama_3_1_8b,shared54,happiness,LLH,5.970889920424404
llama_3_1_8b,shared54,happiness,LLL,5.957570291777188
llama_3_1_8b,shared54,happiness,NNN,6.065125552608312
llama_3_1_8b,shared54,neutral,HHH,5.87210433244916
llama_3_1_8b,shared54,neutral,HHL,5.839145004420867
llama_3_1_8b,shared54,neutral,HLH,6.008076923076923
llama_3_1_8b,shared54,neutral,HLL,6.266039787798409
llama_3_1_8b,shared54,neutral,LHH,5.685115826702034
llama_3_1_8b,shared54,neutral,LHL,5.938355437665783
llama_3_1_8b,shared54,neutral,LLH,6.043372679045094
llama_3_1_8b,shared54,neutral,LLL,6.217891688770999
llama_3_1_8b,shared54,neutral,NNN,5.93650397877984
llama_3_1_8b,shared54,sadness,HHH,5.906103890362512
llama_3_1_8b,shared54,sadness,HHL,5.8409845269672855
llama_3_1_8b,shared54,sadness,HLH,5.971436339522546
llama_3_1_8b,shared54,sadness,HLL,6.130693191865605
llama_3_1_8b,shared54,sadness,LHH,6.1383726790450925
llama_3_1_8b,shared54,sadness,LHL,6.062807250221043
llama_3_1_8b,shared54,sadness,LLH,5.704595048629532
llama_3_1_8b,shared54,sadness,LLL,5.928664456233421
