model,assignment,question_id,emotion,personality,conscientiousness,openness,extraversion,revised,bleu,calls,prompt_tokens,completion_tokens,total_tokens
llama_3_1_8b,shared54,3648,anger,HLL,H,L,L,1,4.86,12,14661,3348,18009
llama_3_1_8b,shared54,819,anger,HLL,H,L,L,1,4.245,10,56669,3566,60235
llama_3_1_8b,shared54,9012,anger,HLL,H,L,L,1,3.8,12,25695,3940,29635
llama_3_1_8b,shared54,8024,anger,HLL,H,L,L,1,0.0,7,16571,2130,18701
llama_3_1_8b,shared54,7314,anger,HLL,H,L,L,1,6.52,10,15413,3256,18669
llama_3_1_8b,shared54,4572,anger,HLL,H,L,L,1,6.0649999999999995,12,15453,3581,19034
llama_3_1_8b,shared54,3358,anger,HLL,H,L,L,1,13.65,9,125098,4261,129359
llama_3_1_8b,shared54,17870,anger,HLL,H,L,L,1,0.02,11,40676,3803,44479
llama_3_1_8b,shared54,2848,anger,HLL,H,L,L,1,14.49,12,13648,4297,17945
llama_3_1_8b,shared54,13825,anger,HLL,H,L,L,1,5.49,12,44274,4406,48680
llama_3_1_8b,shared54,1041,anger,HLL,H,L,L,1,4.359999999999999,12,24190,4116,28306
llama_3_1_8b,shared54,976,anger,HLL,H,L,L,1,6.66,10,25796,3046,28842
llama_3_1_8b,shared54,3070,anger,HLL,H,L,L,1,8.615,8,8958,2218,11176
llama_3_1_8b,shared54,7164,anger,HLL,H,L,L,1,6.96,9,15398,3794,19192
llama_3_1_8b,shared54,7623,anger,HLL,H,L,L,1,1.54,12,20637,4238,24875
llama_3_1_8b,shared54,16559,anger,HLL,H,L,L,1,3.0300000000000002,12,26555,5568,32123
llama_3_1_8b,shared54,869,anger,HLL,H,L,L,1,5.54,12,23960,3432,27392
llama_3_1_8b,shared54,6515,anger,HLL,H,L,L,1,3.99,5,9758,1635,11393
llama_3_1_8b,shared54,17856,anger,HLL,H,L,L,1,0.87,9,16625,3063,19688
llama_3_1_8b,shared54,13746,anger,HLL,H,L,L,1,19.41,11,22415,3825,26240
llama_3_1_8b,shared54,7223,anger,HLL,H,L,L,1,3.63,12,30883,4096,34979
llama_3_1_8b,shared54,14719,anger,HLL,H,L,L,1,5.73,12,16553,4299,20852
llama_3_1_8b,shared54,9115,anger,HLL,H,L,L,1,3.7,12,14426,4128,18554
llama_3_1_8b,shared54,212,anger,HLL,H,L,L,1,5.706666666666667,8,13772,2376,16148
llama_3_1_8b,shared54,5231,anger,HLL,H,L,L,1,4.37,10,25009,3432,28441
llama_3_1_8b,shared54,13848,anger,HLL,H,L,L,1,1.965,12,17151,4086,21237
llama_3_1_8b,shared54,11149,anger,HLL,H,L,L,1,0.0,12,16302,3299,19601
llama_3_1_8b,shared54,9105,anger,HLL,H,L,L,1,9.49,12,21150,3562,24712
llama_3_1_8b,shared54,5094,anger,HLL,H,L,L,1,4.433333333333334,11,17135,3976,21111
llama_3_1_8b,shared54,7055,anger,HLL,H,L,L,1,6.99,6,15225,1878,17103
llama_3_1_8b,shared54,11029,anger,HLL,H,L,L,1,0.0,10,34735,4902,39637
llama_3_1_8b,shared54,3349,anger,HLL,H,L,L,1,1.44,12,36480,5221,41701
llama_3_1_8b,shared54,3039,anger,HLL,H,L,L,1,3.5,11,20731,3942,24673
llama_3_1_8b,shared54,12449,anger,HLL,H,L,L,1,5.205,9,17108,2829,19937
llama_3_1_8b,shared54,3169,anger,HLL,H,L,L,0,12.02,3,4446,810,5256
llama_3_1_8b,shared54,11763,anger,HLL,H,L,L,1,3.5999999999999996,12,15339,3880,19219
llama_3_1_8b,shared54,11270,anger,HLL,H,L,L,1,5.99,11,20348,3017,23365
llama_3_1_8b,shared54,8667,anger,HLL,H,L,L,0,3.81,3,5089,1133,6222
llama_3_1_8b,shared54,1423,anger,HLL,H,L,L,1,6.69,10,23262,3395,26657
llama_3_1_8b,shared54,15054,anger,HLL,H,L,L,1,7.355,12,102607,6449,109056
llama_3_1_8b,shared54,17571,anger,HLL,H,L,L,1,6.74,11,15275,3148,18423
llama_3_1_8b,shared54,4090,anger,HLL,H,L,L,1,2.03,11,37533,3339,40872
llama_3_1_8b,shared54,12403,anger,HLL,H,L,L,1,4.285,11,17885,4060,21945
llama_3_1_8b,shared54,2582,anger,HLL,H,L,L,1,4.21,12,15794,3479,19273
llama_3_1_8b,shared54,18089,anger,HLL,H,L,L,1,7.86,6,10609,2026,12635
llama_3_1_8b,shared54,9606,anger,HLL,H,L,L,1,5.84,11,13660,3661,17321
llama_3_1_8b,shared54,11850,anger,HLL,H,L,L,1,11.5,12,15781,3299,19080
llama_3_1_8b,shared54,6300,anger,HLL,H,L,L,1,5.56,11,32913,4310,37223
llama_3_1_8b,shared54,2279,anger,HLL,H,L,L,1,5.6,11,19055,4040,23095
llama_3_1_8b,shared54,1501,anger,HLL,H,L,L,1,5.09,12,18105,3714,21819
llama_3_1_8b,shared54,7467,anger,HLL,H,L,L,1,5.625,12,22745,4707,27452
llama_3_1_8b,shared54,9482,anger,HLL,H,L,L,1,3.81,11,11916,2591,14507
llama_3_1_8b,shared54,2614,anger,HLL,H,L,L,1,3.01,12,17054,3513,20567
llama_3_1_8b,shared54,7628,anger,HLL,H,L,L,1,4.44,10,48189,3762,51951
llama_3_1_8b,shared54,3309,anger,HLL,H,L,L,1,8.43,11,17337,4029,21366
llama_3_1_8b,shared54,12455,anger,HLL,H,L,L,1,2.97,11,18917,3957,22874
llama_3_1_8b,shared54,9108,anger,HLL,H,L,L,1,0.05,10,23988,2636,26624
llama_3_1_8b,shared54,14857,anger,HLL,H,L,L,1,5.56,12,13398,3417,16815
llama_3_1_8b,shared54,11954,anger,HLL,H,L,L,1,6.95,10,14842,3175,18017
llama_3_1_8b,shared54,5329,anger,HLL,H,L,L,1,5.01,12,27265,4025,31290
llama_3_1_8b,shared54,12130,anger,HLL,H,L,L,1,14.96,12,50848,6008,56856
