model,assignment,emotion,personality,bleu,baseline_bleu,delta_bleu,beat_self_report
llama_3_1_8b,shared54,disgust,LLL,6.758838196286471,5.839145004420867,0.9196931918656048,1
llama_3_1_8b,shared54,neutral,HLL,6.266039787798409,5.839145004420867,0.4268947833775423,1
llama_3_1_8b,shared54,fear,LHH,6.22972590627763,5.839145004420867,0.3905809018567634,1
llama_3_1_8b,shared54,neutral,LLL,6.217891688770999,5.839145004420867,0.3787466843501326,1
llama_3_1_8b,shared54,disgust,HHH,6.207655172413793,5.839145004420867,0.3685101679929268,1
llama_3_1_8b,shared54,anger,NNN,6.20722590627763,5.839145004420867,0.36808090185676345,1
llama_3_1_8b,shared54,disgust,LLH,6.173945623342175,5.839145004420867,0.3348006189213084,1
llama_3_1_8b,shared54,sadness,LHH,6.1383726790450925,5.839145004420867,0.29922767462422595,1
llama_3_1_8b,shared54,sadness,HLL,6.130693191865605,5.839145004420867,0.29154818744473854,1
llama_3_1_8b,shared54,anger,LLH,6.126975685234306,5.839145004420867,0.287830680813439,1
llama_3_1_8b,shared54,disgust,HLH,6.1188545534924845,5.839145004420867,0.27970954907161794,1
llama_3_1_8b,shared54,happiness,HHL,6.1065857648099025,5.839145004420867,0.26744076038903586,1
llama_3_1_8b,shared54,disgust,LHH,6.07661759504863,5.839145004420867,0.23747259062776305,1
llama_3_1_8b,shared54,happiness,NNN,6.065125552608312,5.839145004420867,0.2259805481874455,1
llama_3_1_8b,shared54,sadness,LHL,6.062807250221043,5.839145004420867,0.22366224580017668,1
llama_3_1_8b,shared54,neutral,LLH,6.043372679045094,5.839145004420867,0.20422767462422708,1
llama_3_1_8b,shared54,anger,HHL,6.025909372236958,5.839145004420867,0.18676436781609151,1
llama_3_1_8b,shared54,fear,HLH,6.022206012378426,5.839145004420867,0.18306100795755942,1
llama_3_1_8b,shared54,neutral,HLH,6.008076923076923,5.839145004420867,0.16893191865605672,1
llama_3_1_8b,shared54,anger,LLL,5.987425287356322,5.839145004420867,0.14828028293545525,1
llama_3_1_8b,shared54,sadness,NNN,5.981898762157383,5.839145004420867,0.1427537577365161,1
llama_3_1_8b,shared54,disgust,HLL,5.981645446507516,5.839145004420867,0.14250044208664914,1
llama_3_1_8b,shared54,disgust,LHL,5.979245800176835,5.839145004420867,0.14010079575596812,1
llama_3_1_8b,shared54,sadness,HLH,5.971436339522546,5.839145004420867,0.13229133510167923,1
llama_3_1_8b,shared54,happiness,LLH,5.970889920424404,5.839145004420867,0.13174491600353733,1
llama_3_1_8b,shared54,happiness,LLL,5.957570291777188,5.839145004420867,0.11842528735632118,1
llama_3_1_8b,shared54,neutral,LHL,5.938355437665783,5.839145004420867,0.09921043324491663,1
llama_3_1_8b,shared54,neutral,NNN,5.93650397877984,5.839145004420867,0.09735897435897378,1
llama_3_1_8b,shared54,sadness,LLL,5.928664456233421,5.839145004420867,0.0895194518125546,1
llama_3_1_8b,shared54,happiness,HLH,5.925261715296198,5.839145004420867,0.08611671087533157,1
llama_3_1_8b,shared54,anger,HLH,5.91155658709107,5.839145004420867,0.07241158267020342,1
llama_3_1_8b,shared54,sadness,HHH,5.906103890362512,5.839145004420867,0.06695888594164501,1
llama_3_1_8b,shared54,fear,LHL,5.90133465959328,5.839145004420867,0.06218965517241326,1
