model,assignment,mixed_profile_assignment,writer1_profile,writer2_profile,supervisor_profile,bleu,baseline_bleu,delta_bleu,beat_self_report
llama_3_1_8b,mixed24,LLL_disgust;HLL_neutral;LHH_fear,LLL_disgust,HLL_neutral,LHH_fear,6.778149425287356,5.839145004420867,0.9390044208664898,1
llama_3_1_8b,mixed24,LLL_disgust;LLL_disgust;LHH_fear,LLL_disgust,LLL_disgust,LHH_fear,6.679241379310345,5.839145004420867,0.8400963748894785,1
llama_3_1_8b,mixed24,HLL_neutral;HLL_neutral;LHH_fear,HLL_neutral,HLL_neutral,LHH_fear,6.6411821396993815,5.839145004420867,0.802037135278515,1
llama_3_1_8b,mixed24,LLL_disgust;LHH_fear;LLL_disgust,LLL_disgust,LHH_fear,LLL_disgust,6.624683908045976,5.839145004420867,0.7855389036251097,1
llama_3_1_8b,mixed24,LHH_fear;LLL_disgust;LHH_fear,LHH_fear,LLL_disgust,LHH_fear,6.611937665782493,5.839145004420867,0.7727926613616267,1
llama_3_1_8b,mixed24,LLL_disgust;LHH_fear;LHH_fear,LLL_disgust,LHH_fear,LHH_fear,6.593034482758621,5.839145004420867,0.7538894783377543,1
llama_3_1_8b,mixed24,HLL_neutral;HLL_neutral;LLL_disgust,HLL_neutral,HLL_neutral,LLL_disgust,6.410068523430592,5.839145004420867,0.5709235190097255,1
llama_3_1_8b,mixed24,LLL_disgust;HLL_neutral;HLL_neutral,LLL_disgust,HLL_neutral,HLL_neutral,6.380295313881521,5.839145004420867,0.5411503094606545,1
llama_3_1_8b,mixed24,HLL_neutral;LHH_fear;LHH_fear,HLL_neutral,LHH_fear,LHH_fear,6.356802387267904,5.839145004420867,0.5176573828470374,1
llama_3_1_8b,mixed24,LLL_disgust;LLL_disgust;HLL_neutral,LLL_disgust,LLL_disgust,HLL_neutral,6.351171971706454,5.839145004420867,0.5120269672855873,1
llama_3_1_8b,mixed24,LLL_disgust;HLL_neutral;LLL_disgust,LLL_disgust,HLL_neutral,LLL_disgust,6.338206012378426,5.839145004420867,0.49906100795755926,1
llama_3_1_8b,mixed24,HLL_neutral;LLL_disgust;LHH_fear,HLL_neutral,LLL_disgust,LHH_fear,6.248279840848807,5.839145004420867,0.40913483642794013,1
llama_3_1_8b,mixed24,HLL_neutral;LLL_disgust;LLL_disgust,HLL_neutral,LLL_disgust,LLL_disgust,6.199711759504862,5.839145004420867,0.3605667550839957,1
llama_3_1_8b,mixed24,LHH_fear;LHH_fear;LLL_disgust,LHH_fear,LHH_fear,LLL_disgust,6.195198938992043,5.839145004420867,0.3560539345711762,1
llama_3_1_8b,mixed24,HLL_neutral;LLL_disgust;HLL_neutral,HLL_neutral,LLL_disgust,HLL_neutral,6.149900530503978,5.839145004420867,0.31075552608311163,1
llama_3_1_8b,mixed24,LHH_fear;HLL_neutral;LHH_fear,LHH_fear,HLL_neutral,LHH_fear,6.135118037135278,5.839145004420867,0.29597303271441167,1
llama_3_1_8b,mixed24,LLL_disgust;LHH_fear;HLL_neutral,LLL_disgust,LHH_fear,HLL_neutral,6.083305923961096,5.839145004420867,0.24416091954022967,1
llama_3_1_8b,mixed24,HLL_neutral;LHH_fear;LLL_disgust,HLL_neutral,LHH_fear,LLL_disgust,6.052492926613616,5.839145004420867,0.21334792219274945,1
