analysis_scope,result_type,effect,comparison,reference,chi_square,df,log_odds_estimate,std_error,z_value,odds_ratio,p_value,q_value_bh,bh_family,note
Overall,Main effect,Emotion,Overall effect,,2370.89986973947,5,NA,NA,NA,NA,0,0,main_effects,
Overall,Main effect,Conscientiousness,Overall effect,,765.139653266699,1,NA,NA,NA,NA,2.04898744907325e-168,4.0979748981465e-168,main_effects,
Overall,Main effect,Openness,Overall effect,,268.214415008857,1,NA,NA,NA,NA,2.7801896167287e-60,3.7069194889716e-60,main_effects,
Overall,Main effect,Extraversion,Overall effect,,22.7604291050375,1,NA,NA,NA,NA,1.83505554442917e-06,1.83505554442917e-06,main_effects,
Overall,Emotion contrast,Emotion,Anger vs happiness,Happiness,NA,NA,1.01184732176925,0.036636787360617,27.6183419634917,2.75067771124364,6.7013634871749e-168,1.78703026324664e-167,planned_contrasts,
Overall,Emotion contrast,Emotion,Disgust vs happiness,Happiness,NA,NA,1.49460749418197,0.039360463990764,37.9723037445057,4.45758658076586,1.65373725109566e-315,1.32298980087653e-314,planned_contrasts,
Overall,Emotion contrast,Emotion,Fear vs happiness,Happiness,NA,NA,1.33022600234621,0.038312348585346,34.7205548984539,3.78189800881505,3.85760795783978e-264,1.54304318313591e-263,planned_contrasts,
Overall,Emotion contrast,Emotion,Neutral vs happiness,Happiness,NA,NA,0.399485910596836,0.0345002055779999,11.5792327582993,1.49105796347468,5.25139405335615e-31,6.0015932038356e-31,planned_contrasts,
Overall,Emotion contrast,Emotion,Sadness vs happiness,Happiness,NA,NA,0.500907526509447,0.0347679160338918,14.4071771808572,1.65021820811243,4.66385950562243e-47,6.21847934082991e-47,planned_contrasts,
Overall,Trait contrast,Conscientiousness,High vs low,Low,NA,NA,0.603544745509306,0.0219732443076849,27.4672568628486,1.82858920902642,4.32286578706781e-166,8.64573157413563e-166,planned_contrasts,
Overall,Trait contrast,Openness,High vs low,Low,NA,NA,0.357006415535251,0.0218204590932803,16.3610863551992,1.42904503791328,3.62601288017003e-60,5.80162060827205e-60,planned_contrasts,
Overall,Trait contrast,Extraversion,High vs low,Low,NA,NA,0.103947680685609,0.0217441728172887,4.78048448009762,1.10954240289917,1.74873258966512e-06,1.74873258966512e-06,planned_contrasts,
Model: Llama 8B,Main effect,Emotion,Overall effect,,150.121852781503,5,NA,NA,NA,NA,1.25773199073488e-30,5.03092796293953e-30,main_effects,
Model: Llama 8B,Main effect,Conscientiousness,Overall effect,,55.4991173612025,1,NA,NA,NA,NA,9.35009883010244e-14,1.24667984401366e-13,main_effects,
Model: Llama 8B,Main effect,Openness,Overall effect,,71.2593284412592,1,NA,NA,NA,NA,3.13226433551678e-17,6.26452867103356e-17,main_effects,
Model: Llama 8B,Main effect,Extraversion,Overall effect,,13.3153494678227,1,NA,NA,NA,NA,0.000263242259557804,0.000263242259557804,main_effects,
Model: Llama 8B,Emotion contrast,Emotion,Anger vs happiness,Happiness,NA,NA,1.62237523076299,0.219792567032789,7.38139261334054,5.06510683748751,1.56642331946282e-13,4.17712885190086e-13,planned_contrasts,
Model: Llama 8B,Emotion contrast,Emotion,Disgust vs happiness,Happiness,NA,NA,1.30526146635418,0.198409175409505,6.57863460024062,3.68865342639248,4.74787955092841e-11,6.33050606790455e-11,planned_contrasts,
Model: Llama 8B,Emotion contrast,Emotion,Fear vs happiness,Happiness,NA,NA,2.33176183085281,0.285534707118542,8.16629913184163,10.2960654885235,3.17994192215212e-16,2.5439535377217e-15,planned_contrasts,
Model: Llama 8B,Emotion contrast,Emotion,Neutral vs happiness,Happiness,NA,NA,1.33086227001267,0.199982846185259,6.65488213313955,3.78430507392358,2.83527176803684e-11,4.53643482885894e-11,planned_contrasts,
Model: Llama 8B,Emotion contrast,Emotion,Sadness vs happiness,Happiness,NA,NA,1.25562382935375,0.195429371122638,6.42494944409255,3.51002734959123,1.31913350988364e-10,1.50758115415273e-10,planned_contrasts,
Model: Llama 8B,Trait contrast,Conscientiousness,High vs low,Low,NA,NA,0.934382998547761,0.138220519176098,6.7600889080537,2.54564230808707,1.37907087204306e-11,2.75814174408611e-11,planned_contrasts,
Model: Llama 8B,Trait contrast,Openness,High vs low,Low,NA,NA,1.06942688515083,0.141383143911933,7.56403384138194,2.91370913139684,3.90758004218732e-14,1.56303201687493e-13,planned_contrasts,
Model: Llama 8B,Trait contrast,Extraversion,High vs low,Low,NA,NA,0.446529309874214,0.130679303939071,3.41698567726078,1.56287849465678,0.000633186107286701,0.000633186107286701,planned_contrasts,
Model: Mistral 24B,Main effect,Emotion,Overall effect,,99.7243086213603,5,NA,NA,NA,NA,6.04171179431287e-20,2.41668471772515e-19,main_effects,
Model: Mistral 24B,Main effect,Conscientiousness,Overall effect,,9.17296885677752,1,NA,NA,NA,NA,0.00245615804482031,0.00327487739309374,main_effects,
Model: Mistral 24B,Main effect,Openness,Overall effect,,16.228712623395,1,NA,NA,NA,NA,5.61368127674256e-05,0.000112273625534851,main_effects,
Model: Mistral 24B,Main effect,Extraversion,Overall effect,,0.381299618387857,1,NA,NA,NA,NA,0.53690852202221,0.53690852202221,main_effects,
Model: Mistral 24B,Emotion contrast,Emotion,Anger vs happiness,Happiness,NA,NA,0.493219753499219,0.0994505121007983,4.9594491077061,1.63758034586264,7.06933642274806e-07,1.88515637939948e-06,planned_contrasts,
Model: Mistral 24B,Emotion contrast,Emotion,Disgust vs happiness,Happiness,NA,NA,0.582440066079562,0.101542166530919,5.73594286962761,1.79040180383614,9.69713472334264e-09,3.87885388933705e-08,planned_contrasts,
Model: Mistral 24B,Emotion contrast,Emotion,Fear vs happiness,Happiness,NA,NA,0.796117963906261,0.10713851493476,7.43073547725617,2.21691804627901,1.07995492199969e-13,8.63963937599748e-13,planned_contrasts,
