model,assignment,personality_group,instances,revised,revision_rate
qwen2_5_1_5b,shared54,C-High,9048,7224,0.7984084880636605
qwen2_5_1_5b,shared54,C-Low,9048,5680,0.627763041556145
qwen2_5_1_5b,shared54,O-High,9048,6891,0.761604774535809
qwen2_5_1_5b,shared54,O-Low,9048,6013,0.6645667550839964
qwen2_5_1_5b,shared54,E-High,9048,6489,0.7171750663129973
qwen2_5_1_5b,shared54,E-Low,9048,6415,0.7089964633068081
qwen2_5_1_5b,shared54,Neutral,2262,1822,0.8054818744473917
llama_3_1_8b,shared54,C-High,9048,8951,0.9892793987621574
llama_3_1_8b,shared54,C-Low,9048,8829,0.9757957559681698
llama_3_1_8b,shared54,O-High,9048,8959,0.9901635720601237
llama_3_1_8b,shared54,O-Low,9048,8821,0.9749115826702034
llama_3_1_8b,shared54,E-High,9048,8920,0.9858532272325375
llama_3_1_8b,shared54,E-Low,9048,8860,0.9792219274977896
llama_3_1_8b,shared54,Neutral,2262,2226,0.9840848806366048
mistral_small_3_24b_awq,shared54,C-High,9048,8410,0.9294871794871795
mistral_small_3_24b_awq,shared54,C-Low,9048,8307,0.9181034482758621
mistral_small_3_24b_awq,shared54,O-High,9048,8290,0.9162245800176835
mistral_small_3_24b_awq,shared54,O-Low,9048,8427,0.9313660477453581
mistral_small_3_24b_awq,shared54,E-High,9048,8369,0.9249557913351016
mistral_small_3_24b_awq,shared54,E-Low,9048,8348,0.9226348364279399
mistral_small_3_24b_awq,shared54,Neutral,2262,2104,0.9301503094606542
qwen2.5-32b-awq,shared54,C-High,9048,5730,0.633289124668435
qwen2.5-32b-awq,shared54,C-Low,9048,4947,0.5467506631299734
qwen2.5-32b-awq,shared54,O-High,9048,5652,0.6246684350132626
qwen2.5-32b-awq,shared54,O-Low,9048,5025,0.5553713527851459
qwen2.5-32b-awq,shared54,E-High,9048,5480,0.6056587091069849
qwen2.5-32b-awq,shared54,E-Low,9048,5197,0.5743810786914235
qwen2.5-32b-awq,shared54,Neutral,2262,1355,0.599027409372237
overall,shared54,C-High,36192,30315,0.8376160477453581
overall,shared54,C-Low,36192,27763,0.7671032272325375
overall,shared54,O-High,36192,29792,0.8231653404067197
overall,shared54,O-Low,36192,28286,0.781553934571176
overall,shared54,E-High,36192,29258,0.8084106984969054
overall,shared54,E-Low,36192,28820,0.7963085764809903
overall,shared54,Neutral,9048,7507,0.8296861184792219
