model,assignment,emotion,instances,calls,prompt_tokens,completion_tokens,total_tokens,calls_per_instance,prompt_tokens_per_instance,completion_tokens_per_instance,total_tokens_per_instance,prompt_tokens_per_call,completion_tokens_per_call,total_tokens_per_call
qwen2_5_1_5b,shared54,fear,3393,32077,66058339,6990837,73049176,9.453875626289419,19469.00648393752,2060.370468611848,21529.376952549366,2059.3677401253235,217.93923995386103,2277.3069800791845
qwen2_5_1_5b,shared54,anger,3393,32204,64315561,6888874,71204435,9.491305629236663,18955.367226643088,2030.3194812849986,20985.686707928086,1997.1295801763756,213.9136132157496,2211.043193392125
qwen2_5_1_5b,shared54,sadness,3393,28665,58850596,6375803,65226399,8.448275862068966,17344.708517536103,1879.1049218980254,19223.81343943413,2053.047130647131,222.4246642246642,2275.471794871795
qwen2_5_1_5b,shared54,disgust,3393,32808,66201988,6929707,73131695,9.669319186560566,19511.343353964043,2042.3539640436193,21553.697318007664,2017.8611314313582,211.2200377956596,2229.0811692270177
qwen2_5_1_5b,shared54,neutral,3393,26323,51237782,5924292,57162074,7.758031240789862,15101.026230474507,1746.0335985853228,16847.05982905983,1946.5023743494282,225.06142916840787,2171.5638035178363
qwen2_5_1_5b,shared54,happiness,3393,22435,44086607,5463420,49550027,6.612142646625405,12993.400235779545,1610.2033598585322,14603.603595638078,1965.0816581234678,243.5221751727212,2208.603833296189
llama_3_1_8b,shared54,fear,3393,38471,91470593,13281169,104751762,11.338343648688475,26958.618626584142,3914.284998526378,30872.90362511052,2377.6505159730705,345.22546853474046,2722.875984507811
llama_3_1_8b,shared54,anger,3393,38114,90212671,13265789,103478460,11.233127026230475,26587.878278809312,3909.7521367521367,30497.63041556145,2366.916907173217,348.0555438946319,2714.9724510678493
llama_3_1_8b,shared54,sadness,3393,37742,89021221,12777103,101798324,11.12348953728264,26236.728853521956,3765.7244326554674,30002.453286177424,2358.6778920036036,338.5380477982089,2697.2159398018125
llama_3_1_8b,shared54,disgust,3393,37897,89423382,12938563,102361945,11.169171824344238,26355.255526083114,3813.310639552019,30168.56616563513,2359.642768556878,341.413911391403,2701.056679948281
llama_3_1_8b,shared54,neutral,3393,37995,89905901,13023955,102929856,11.198054818744474,26497.465664603595,3838.4777483053344,30335.94341290893,2366.2561126464007,342.7807606263982,2709.036873272799
llama_3_1_8b,shared54,happiness,3393,36676,86680468,12702738,99383206,10.809313292071913,25546.851753610375,3743.8072502210434,29290.659003831417,2363.4111680663104,346.3501472352492,2709.7613153015595
mistral_small_3_24b_awq,shared54,fear,3393,30348,74619383,8006041,82625424,8.944297082228116,21992.155319776008,2359.575891541409,24351.73121131742,2458.790793462502,263.80786213259523,2722.5986555950967
mistral_small_3_24b_awq,shared54,anger,3393,29607,73009117,7628374,80637491,8.725906277630415,21517.57058650162,2248.2681992337166,23765.838785735337,2465.9410612355186,257.6544060526227,2723.595467288141
mistral_small_3_24b_awq,shared54,sadness,3393,28125,69574730,7193507,76768237,8.289124668435013,20505.37282640731,2120.1022693781315,22625.47509578544,2473.768177777778,255.7691377777778,2729.537315555556
mistral_small_3_24b_awq,shared54,disgust,3393,29692,72098620,7588539,79687159,8.75095785440613,21249.224874742114,2236.527851458886,23485.752726201,2428.2170281557324,255.57520544254345,2683.7922335982757
mistral_small_3_24b_awq,shared54,neutral,3393,29500,72395541,7396712,79792253,8.69437076333628,21336.73474801061,2179.9917477158856,23516.726495726496,2454.08613559322,250.736,2704.8221355932205
mistral_small_3_24b_awq,shared54,happiness,3393,28366,69411256,7403445,76814701,8.360153256704981,20457.19304450339,2181.976127320955,22639.169171824346,2446.9878022985263,260.9971444687302,2707.9849467672566
qwen2.5-32b-awq,shared54,fear,3393,22217,48889429,4633765,53523194,6.547892720306513,14408.909224874742,1365.6837606837607,15774.592985558504,2200.5414322365755,208.568438583067,2409.1098708196428
qwen2.5-32b-awq,shared54,anger,3393,21228,46400182,4350018,50750200,6.256410256410256,13675.267315060419,1282.0565870910698,14957.32390215149,2185.8009233088374,204.91888072357264,2390.71980403241
qwen2.5-32b-awq,shared54,sadness,3393,19396,42759083,3988182,46747265,5.716475095785441,12602.14647804303,1175.4146772767463,13777.561155319776,2204.530985770262,205.618787378841,2410.149773149103
qwen2.5-32b-awq,shared54,disgust,3393,25096,55689996,5039377,60729373,7.396404361921603,16413.202475685233,1485.22752726201,17898.430002947243,2219.0785782594835,200.80399266815428,2419.882570927638
qwen2.5-32b-awq,shared54,neutral,3393,18054,39664247,3657803,43322050,5.320954907161804,11690.022693781315,1078.0439139404657,12768.06660772178,2196.978342749529,202.60346737565084,2399.58181012518
qwen2.5-32b-awq,shared54,happiness,3393,19202,42268095,3990970,46259065,5.65929855585028,12457.440318302388,1176.2363689949898,13633.676687297377,2201.2339860431207,207.84137069055308,2409.0753567336737
overall,shared54,fear,13572,123113,281037744,32911812,313949556,9.071102269378132,20707.172413793105,2424.978779840849,23132.151193633952,2282.76253523186,267.3301113611073,2550.0926465929674
overall,shared54,anger,13572,121153,273937531,32133055,306070586,8.926687297376953,20184.020851753612,2367.5991010904804,22551.619952844092,2261.0874761665004,265.22706825254016,2526.3145444190404
overall,shared54,sadness,13572,113928,260205630,30334595,290540225,8.394341290893015,19172.2391688771,2235.0865753020926,21407.325744179194,2283.94801980198,266.26110350396743,2550.2091233059477
overall,shared54,disgust,13572,125493,283413986,32496186,315910172,9.246463306808135,20882.256557618628,2394.3549955791336,23276.61155319776,2258.404739706597,258.9481963137386,2517.3529360203356
overall,shared54,neutral,13572,111872,253203471,30002762,283206233,8.242852932508105,18656.312334217506,2210.636752136752,20866.94908635426,2263.331941862128,268.1883044908467,2531.520246352975
overall,shared54,happiness,13572,106679,242446426,29560573,272006999,7.860226937813144,17863.721338048923,2178.05577659888,20041.777114647804,2272.672465996119,277.09833238031854,2549.7707983764376
