model,assignment,personality_group,instances,calls,prompt_tokens,completion_tokens,total_tokens,calls_per_instance,prompt_tokens_per_instance,completion_tokens_per_instance,total_tokens_per_instance,prompt_tokens_per_call,completion_tokens_per_call,total_tokens_per_call
qwen2_5_1_5b,shared54,C-High,9048,83923,171363535,18071044,189434579,9.275309460654288,18939.382736516356,1997.2418213969938,20936.62455791335,2041.9138376845442,215.3288609797076,2257.2426986642517
qwen2_5_1_5b,shared54,C-Low,9048,69295,136109089,15862401,151971490,7.658598585322723,15043.002763041557,1753.138925729443,16796.141688771,1964.1978353416553,228.9111912836424,2193.1090266252977
qwen2_5_1_5b,shared54,O-High,9048,80773,162762270,17602610,180364880,8.927166224580018,17988.756631299733,1945.4697170645447,19934.22634836428,2015.0578782513958,217.92690626818367,2232.9847845195795
qwen2_5_1_5b,shared54,O-Low,9048,72445,144710354,16330835,161041189,8.006741821396993,15993.628868258178,1804.9110300618922,17798.539898320072,1997.5202429429223,225.42390779211817,2222.9441507350402
qwen2_5_1_5b,shared54,E-High,9048,76741,153024440,16940661,169965101,8.481542882404952,16912.515473032716,1872.3100132625996,18784.825486295314,1994.0376070158063,220.75111087945166,2214.7887178952583
qwen2_5_1_5b,shared54,E-Low,9048,76477,154448184,16992784,171440968,8.45236516357206,17069.870026525197,1878.0707338638374,18947.940760389036,2019.537691070518,222.19469905984806,2241.732390130366
qwen2_5_1_5b,shared54,Neutral,2262,21294,43278249,4639488,47917737,9.413793103448276,19132.736074270557,2051.0557029177717,21183.79177718833,2032.4151873767257,217.8777120315582,2250.292899408284
llama_3_1_8b,shared54,C-High,9048,101839,241461238,35571202,277032440,11.255415561450045,26686.697391688773,3931.3883731211317,30618.085764809905,2371.009515018804,349.28860259821874,2720.298117617023
llama_3_1_8b,shared54,C-Low,9048,99696,235217967,33717605,268935572,11.018567639257295,25996.680702917773,3726.525751547303,29723.206454465075,2359.352100385171,338.20419073984914,2697.55629112502
llama_3_1_8b,shared54,O-High,9048,102097,242214095,35112674,277326769,11.28393015030946,26769.90439876216,3880.7110963748896,30650.615495137048,2372.3918920242513,343.9148456859653,2716.3067377102166
